LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	217	lex	5_5	1	selection	FOC	217	all	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	415	lex	5_5	1	no	5000	5000	nav	4_4	234	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	415	lex	5_5	1	no	5000	5000	all	4_4	234	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	415	lex	5_5	1	no	FOC	300	nav	4_4	234	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	415	lex	5_5	1	no	FOC	415	all	4_4	234	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	343	all	5_5	1	weight	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	343	all	5_5	1	weight	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	343	all	5_5	1	weight	FOC	148	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	343	all	5_5	1	weight	FOC	343	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	343	all	5_5	1	selection	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	343	all	5_5	1	selection	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	343	all	5_5	1	selection	FOC	148	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	343	all	5_5	1	selection	FOC	343	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	634	all	5_5	1	no	5000	5000	nav	4_4	240	herinneren	NA
