LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	group1	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	147	NA	NA	1	selection	FOC	147	all	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	232	NA	NA	1	no	5000	5000	nav	4_4	233	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	232	NA	NA	1	no	5000	5000	all	4_4	233	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	232	NA	NA	1	no	FOC	87	nav	4_4	233	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	232	NA	NA	1	no	FOC	232	all	4_4	233	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	200	NA	NA	1	weight	5000	5000	nav	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	200	NA	NA	1	weight	5000	5000	all	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	200	NA	NA	1	weight	FOC	86	nav	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	200	NA	NA	1	weight	FOC	200	all	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	200	NA	NA	1	selection	5000	5000	nav	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	200	NA	NA	1	selection	5000	5000	all	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	200	NA	NA	1	selection	FOC	86	nav	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	200	NA	NA	1	selection	FOC	200	all	4_4	236	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	341	NA	NA	1	no	5000	5000	nav	4_4	237	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	341	NA	NA	1	no	5000	5000	all	4_4	237	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	341	NA	NA	1	no	FOC	160	nav	4_4	237	herinneren	NA
NA	group2	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	341	NA	NA	1	no	FOC	341	all	4_4	237	herinneren	NA
selection2	NA	herinneren.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	276	NA	NA	1	weight	5000	5000	nav	4_4	237	herinneren	0.14448838497825114
selection2	NA	herinneren.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	276	NA	NA	1	weight	5000	5000	all	4_4	237	herinneren	0.17840777157574794
selection2	NA	herinneren.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	276	NA	NA	1	weight	FOC	114	nav	4_4	237	herinneren	0.1713582211937672
selection2	NA	herinneren.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	276	NA	NA	1	weight	FOC	276	all	4_4	237	herinneren	0.15865609801588634
selection2	NA	herinneren.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	276	NA	NA	1	selection	5000	5000	nav	4_4	237	herinneren	0.20128771975547421
selection2	NA	herinneren.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	276	NA	NA	1	selection	5000	5000	all	4_4	237	herinneren	0.23767321339146133
selection2	NA	herinneren.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	276	NA	NA	1	selection	FOC	114	nav	4_4	237	herinneren	0.2284221203232438
selection2	NA	herinneren.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	276	NA	NA	1	selection	FOC	276	all	4_4	237	herinneren	0.20791951582924317
selection2	NA	herinneren.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	557	NA	NA	1	no	5000	5000	nav	4_4	238	herinneren	0.22749510405996767
selection2	NA	herinneren.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	557	NA	NA	1	no	5000	5000	all	4_4	238	herinneren	0.25889738048202554
selection2	NA	herinneren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	557	NA	NA	1	no	FOC	265	nav	4_4	238	herinneren	0.23725087524279834
selection2	NA	herinneren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	557	NA	NA	1	no	FOC	557	all	4_4	238	herinneren	0.2164779161239846
selection3	NA	herinneren.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	374	NA	NA	1	weight	5000	5000	nav	4_4	238	herinneren	0.14837710845682012
selection3	NA	herinneren.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	374	NA	NA	1	weight	5000	5000	all	4_4	238	herinneren	0.19834574156503584
selection3	NA	herinneren.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	374	NA	NA	1	weight	FOC	162	nav	4_4	238	herinneren	0.17983688934652714
selection3	NA	herinneren.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	374	NA	NA	1	weight	FOC	374	all	4_4	238	herinneren	0.17125276215817428
selection3	NA	herinneren.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	374	NA	NA	1	selection	5000	5000	nav	4_4	238	herinneren	0.20448807845265182
selection3	NA	herinneren.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	374	NA	NA	1	selection	5000	5000	all	4_4	238	herinneren	0.254407207483044
selection3	NA	herinneren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	374	NA	NA	1	selection	FOC	162	nav	4_4	238	herinneren	0.22620051659531526
selection3	NA	herinneren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	374	NA	NA	1	selection	FOC	374	all	4_4	238	herinneren	0.20875986840564154
selection3	NA	herinneren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	843	NA	NA	1	no	5000	5000	nav	4_4	238	herinneren	0.2405823299609105
selection3	NA	herinneren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	843	NA	NA	1	no	5000	5000	all	4_4	238	herinneren	0.2607475626789687
selection3	NA	herinneren.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	843	NA	NA	1	no	FOC	431	nav	4_4	238	herinneren	0.2274144711706661
selection3	NA	herinneren.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	843	NA	NA	1	no	FOC	843	all	4_4	238	herinneren	0.2179144196728837
weight	NA	herinneren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	374	NA	NA	1	weight	5000	5000	nav	4_4	238	herinneren	0.14837710845682012
weight	NA	herinneren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	374	NA	NA	1	weight	5000	5000	all	4_4	238	herinneren	0.19834574156503584
weight	NA	herinneren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	374	NA	NA	1	weight	FOC	162	nav	4_4	238	herinneren	0.17983688934652714
weight	NA	herinneren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	374	NA	NA	1	weight	FOC	374	all	4_4	238	herinneren	0.17125276215817428
weight	NA	herinneren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	374	NA	NA	1	selection	5000	5000	nav	4_4	238	herinneren	0.19156066180631878
weight	NA	herinneren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	374	NA	NA	1	selection	5000	5000	all	4_4	238	herinneren	0.23496152684690857
weight	NA	herinneren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	374	NA	NA	1	selection	FOC	162	nav	4_4	238	herinneren	0.21893174202068183
weight	NA	herinneren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	374	NA	NA	1	selection	FOC	374	all	4_4	238	herinneren	0.19663571747395295
weight	NA	herinneren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	843	NA	NA	1	no	5000	5000	nav	4_4	238	herinneren	0.22158392941845656
weight	NA	herinneren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	843	NA	NA	1	no	5000	5000	all	4_4	238	herinneren	0.2619043108282813
weight	NA	herinneren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	843	NA	NA	1	no	FOC	431	nav	4_4	238	herinneren	0.21521483561579557
weight	NA	herinneren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	843	NA	NA	1	no	FOC	843	all	4_4	238	herinneren	0.20692161445919532
