	id	left	target	right	file
0	huldig/verb/nrc_handelsblad_20020920_9/346	orthodox-protestantse praktijken , als het verbod op pantalons voor meisjes dat in gereformeerde kringen soms	gehuldigd	wordt , of de visie op vrouwenkiesrecht van de Staatkundig Gereformeerde Partij . Dat wordt	nrc_handelsblad_20020920_9
1	huldig/verb/nrc_handelsblad_20000422_69/169	volgende week zondag , na de thuiswedstrijd tegen RKC , zal PSV zich officieel laten	huldigen	in eigen stadion en stad . Gerets , al eens kampioen met Lierse SK en	nrc_handelsblad_20000422_69
2	huldig/verb/nrc_handelsblad_20020729_95/154	Ronde van Frankrijk . Ze was er getuige van hoe Armstrong op de Champs-Elysées werd	gehuldigd	na zijn tweede opeenvolgende overwinning . Gek eigenlijk , dat ze een boek met en	nrc_handelsblad_20020729_95
3	huldig/verb/nrc_handelsblad_20030718_102/257	heeft , had voor 3,8 miljoen euro leningen bij de EIB uitstaan . Volgens ASN	huldigt	de Wereldbank op zich de juiste principes . Bij alle investeringsbeslissingen wordt gekeken naar de	nrc_handelsblad_20030718_102
4	huldig/verb/nrc_handelsblad_20010505_63/16	Steeds als Erik Dekker een zege boekt en het podium beklimt om zich te laten	huldigen	, vraag ik me af of hij niet moe zou zijn . Deze vraag heb	nrc_handelsblad_20010505_63
5	huldig/verb/nrc_handelsblad_20040312_12/141	meer door de beste pupillen aan het eind van het schooljaar in het openbaar te	huldigen	. Tijdens een schitterend feest worden hun namen met trompetgeschal voorgelezen en luidkeels geprezen .	nrc_handelsblad_20040312_12
6	huldig/verb/nrc_handelsblad_19991223_160/245	Tinbergen - politici geven de doeleinden aan en economen schetsen de mogelijkheden - zou worden	gehuldigd	. Maar politiek blijft het spel der belangen . Toch ben ik niet altijd sceptisch	nrc_handelsblad_19991223_160
7	huldig/verb/nrc_handelsblad_20020424_95/310	al als een halve heilige is gepresenteerd , is gek de veiligste optie . Daar	huldigt	de film een naief beeld van de idiot savant en vertoont K-Pax meer gelijkenissen met	nrc_handelsblad_20020424_95
8	huldig/verb/nrc_handelsblad_20040503_62/259	vintage bluesrock . Als je deze leeftijdloze rockers zo liefdevol en stevig de tradities hoort	huldigen	, kun je eigenlijk al niet meer wachten tot de volgende studioplaat met eigen werk	nrc_handelsblad_20040503_62
9	huldig/verb/nrc_handelsblad_20000403_105/491	van fundamenteel belang , dat wij , ondanks het verschil in grootte , dezelfde principes	huldigen	". 	 Goed mogelijk is dat ook de huwelijksvoorwaarden een rol hebben gespeeld . De"	nrc_handelsblad_20000403_105
10	huldig/verb/nrc_handelsblad_20000403_97/96	mocht zij haar zaak tegen uitwijzing in hoger beroep verliezen . De regering in Washington	huldigt	het standpunt dat volgens Amerikaans recht de vader beslist over het domicilie van zijn minderjarige	nrc_handelsblad_20000403_97
11	huldig/verb/nrc_handelsblad_20020702_107/209	"varianten begrepen 	 , zei de coach . Het Duitse voetbalelftal is gisteren in Frankfurt"	gehuldigd	. Tienduizenden mensen eerden spelers en coaches in het hart van de stad . Veel	nrc_handelsblad_20020702_107
12	huldig/verb/nrc_handelsblad_20010221_102/174	een beetje , en laat zich de versierpoging-met-een-mitrailleur aanleunen . De debuterende regisseur-scenarioschrijver Valerie Breiman	huldigt	kennelijk de opvatting dat vrouwen tegen beter weten in de voorkeur aan ploerten geven .	nrc_handelsblad_20010221_102
13	huldig/verb/nrc_handelsblad_20030618_88/344	schroeven . Juist op de dag dat Krajicek op het centre court van Rosmalen werd	gehuldigd	voor zijn succesvolle rentree die hem twaalf maanden geleden na anderhalf jaar blessureleed naar de	nrc_handelsblad_20030618_88
14	huldig/verb/nrc_handelsblad_20020914_18/900	beperkte en grotendeels nutteloze respons gekregen . Anderen , met name Osama bin Laden ,	huldigden	een ander standpunt . In hun ogen waren zij degenen die door de ` heilige	nrc_handelsblad_20020914_18
15	huldig/verb/nrc_handelsblad_20010817_142/1424	Ook dat was een eerste uitvoering , net zoals Stervelingen een wereldpremière is . Hij	huldigt	het standpunt dat je bij eerste opvoeringen van een nieuwe tekst zo getrouw en loyaal	nrc_handelsblad_20010817_142
16	huldig/verb/nrc_handelsblad_20040103_08/224	versimpeling , beroept zich erop het recept voor het enige ware leven te hebben ,	huldigt	een idiote eenduidigheid en bedient zich van emotioneel fanatisme . Er is tussen die verschillende	nrc_handelsblad_20040103_08
17	huldig/verb/nrc_handelsblad_20010212_88/15	Ron Dekker is gisteren bij de NK sprint in Emmen voor de 61ste keer	gehuldigd	als nationaal kampioen . De 34-jarige zwemmer van De IJsel uit Deventer won de 50	nrc_handelsblad_20010212_88
18	huldig/verb/nrc_handelsblad_20011022_75/587	. En toen Vainsteins als de nummer drie in het eindklassement van de wereldbeker werd	gehuldigd	en plaats nam naast Dekker , kwam ze er nog een keertje bij . Dekker	nrc_handelsblad_20011022_75
19	huldig/verb/volkskrant_20001019_33/793	rust werden de supporters Pieter van den Hoogenband en Inge de Bruijn op de middenstip	gehuldigd	. Ze waren de enige PSV'ers voor wie gisteravond op Old Trafford werd geapplaudisseerd	volkskrant_20001019_33
20	huldig/verb/volkskrant_20020603_270/477	ontving van oud-minister-president Dries van Agt is in elk geval meer dan hartelijk . Hij	huldigt	haar ' inzicht in de werkelijke situatie vol onrecht die in Palestina heerst ' .	volkskrant_20020603_270
21	huldig/verb/volkskrant_19991113_141/348	ING met deze keuze duidelijk een andere koers uitzet dan ABN Amro . ' ING	huldigt	met iemand als Kist toch meer de Nederlandse cultuur van consensus . ABN Amro kiest	volkskrant_19991113_141
22	huldig/verb/volkskrant_20010928_0/26	de arrestatie van vier mensen die de grondlegger van de Volksrepubliek op zijn sterfdag wilden	huldigen	, zijn in zijn geboortestad de tempels gesloten waarin hij als een heilige werd vereerd	volkskrant_20010928_0
23	huldig/verb/volkskrant_19991227_79/16	De tranen van Gretha Smit waren niet van geluk . Vlak nadat de marathonschaatsster was	gehuldigd	als winnares van het NK hing haar oudste zus Jenita al aan de mobiele telefoon	volkskrant_19991227_79
24	huldig/verb/volkskrant_20001125_32/728	Europese ambities uitmonden in zulke existentiële afwegingen op Europees niveau . Menig minister van Defensie	huldigt	immers het parool ' liever een tevreden generaal in de kazerne , dan een boze	volkskrant_20001125_32
25	huldig/verb/volkskrant_19990603_64/64	de prijs ook het subsidiebeleid en de sociale voorzieningen op het gebied van de dans	huldigen	. Van Manen is de vierde Nederlander die wordt gelauwerd , sinds de Erasmusprijs in	volkskrant_19990603_64
26	huldig/verb/volkskrant_20010419_143/789	minderheidspositie verkeerden . De kerk is vertrouwd met het idee dat ze een ander standpunt	huldigt	dan de wereld om haar heen , wil ik maar zeggen .	volkskrant_20010419_143
27	huldig/verb/volkskrant_19990721_2/51	uit . Het is kwart voor vijf geweest , ritwinnaar Fernando Escartin is al lang	gehuldigd	en dankzij een pauzemuziekje kan de Tourspeaker een beetje op adem komen . ' Dit	volkskrant_19990721_2
28	huldig/verb/volkskrant_19990402_41/851	in de arena van het leven . Rosenbergs opponent Clement Greenberg en diens adepten daarentegen	huldigden	een l'art-pour-l'art-achtig standpunt . Zij betoogden dat Pollock door zijn methode van werken de doorbraak	volkskrant_19990402_41
29	huldig/verb/volkskrant_20000527_8/3779	iets gemist , ze hebben zeker de regels veranderd , worden nu de eerste drie	gehuldigd	, zoals ze dat op andere circuits ook doen . ' Maar ik bleef daar	volkskrant_20000527_8
30	huldig/verb/volkskrant_20000712_10/307	het erepodium geworden . Behalve voor zijn twee ritzeges werd hij ook al twee keer	gehuldigd	als drager van de bolletjestrui . Bovendien staat Dekkker bovenaan in het klassement voor de	volkskrant_20000712_10
31	huldig/verb/volkskrant_20040303_29/238	gevraagd toen hij het nieuws hoorde . ' Ik kan mezelf niet zo goed laten	huldigen	. Dan krijg ik zoiets : laat mij maar rustig een stukkie maken . Misschien	volkskrant_20040303_29
32	huldig/verb/volkskrant_20020909_109/341	Ze reed een dramatische race en finishte als dertiende . Cees Langeveld mocht zich laten	huldigen	als winnaar van de Vege Series . Daarvoor volstond de derde plaats in de derde	volkskrant_20020909_109
33	huldig/verb/volkskrant_19990212_4252/10	bestookten , terwijl hij in eenzelfde reflex de muze	huldigde	die	volkskrant_19990212_4252
