	id	left	target	right	file
0	gekleurd/adj/nrc_handelsblad_20010616_65/248	wereld . De komende tijd gaan de sets van zes met water gevulde , vrolijk	gekleurde	ballen - of de stalen exemplaren van de echte liefhebbers - weer mee in de	nrc_handelsblad_20010616_65
1	gekleurd/adj/nrc_handelsblad_20011112_101/452	". 	 Wat vrijwel niemand voor mogelijk had gehouden , gebeurde zaterdag in het roodgeel"	gekleurde	Koning Boudewijn-stadion . België won met 1-0 . De Belgen deden kwalitatief dan wel op	nrc_handelsblad_20011112_101
2	gekleurd/adj/nrc_handelsblad_20030722_88/122	boeren die ondanks het verbod hun mest toch bovengronds uitrijden . Ned.3 , 22.20-22.50u. De	gekleurde	waarheid . Eerder in mei vorig jaar uitgezonden documetaire over Rudi Bakker , een van	nrc_handelsblad_20030722_88
3	gekleurd/adj/nrc_handelsblad_20040323_92/356	schoonmoeder , de echtgenote van haar zwager en twee buurvrouwen zich met ranja op de	gekleurde	"matrassen hebben genesteld . Vijf vrouwen , vier weduwen van Hamasstrijders . 	 Sjeik Yassin"	nrc_handelsblad_20040323_92
4	gekleurd/adj/nrc_handelsblad_20010426_136/675	het koper . De Electric Queen bestaat momenteel alleen als prototype , maar kleinere en	gekleurde	modellen kunnen op bestelling worden vervaardigd . *Electric Queen : 7.350 . Inl ( De	nrc_handelsblad_20010426_136
5	gekleurd/adj/nrc_handelsblad_20001223_93/238	lood uitgevoerd ruitpatroon , waarin hij in diagonale , verticale en horizontale lijnen slechts spaarzaam	gekleurd	glas aanbracht . Transparantie overheerst , al is dat slechts schijn , want aan de	nrc_handelsblad_20001223_93
6	gekleurd/adj/nrc_handelsblad_20020531_79/347	"hebben in een nieuw regeerakkoord 	 , schrijft Zalm . 	 Ik wil liever een"	gekleurde	coalitie dan een brede . Zorg bij de formatie ook voor nieuwe gezichten van buiten	nrc_handelsblad_20020531_79
7	gekleurd/adj/nrc_handelsblad_20020119_38/1		Gekleurde	tl-buizen maken van elke uitgaansgelegenheid een hip bordeel . Lukas Keijser in verwarring bij de	nrc_handelsblad_20020119_38
8	gekleurd/adj/nrc_handelsblad_20010329_127/269	ontbreken . De ruimte is gemeubileerd met ornamenten , tuinvazen , versleten houten reliëfs ,	gekleurde	tegels en een hoek vol genummerde dakpannen . De bezoeker ontdekt dat ook zink ,	nrc_handelsblad_20010329_127
9	gekleurd/adj/nrc_handelsblad_19990709_3/501	Nijmegen ( 024-3221734 ) . Bloemlezing van gedichten over katten , met vele , helder	gekleurde	kattenillustraties door Corneille . Er staan ook een paar foto's van Corneille in , met	nrc_handelsblad_19990709_3
10	gekleurd/adj/nrc_handelsblad_19991210_154/1283	die Götter ' ) . Even typerend voor de onthechte - met mythologie en metafysica	gekleurde	- sfeer is Jüngers commentaar , als hij in 1942 op inspectiereis moet naar de	nrc_handelsblad_19991210_154
11	gekleurd/adj/nrc_handelsblad_20021011_5236/20	punt overtuigender dan Eley , wiens voorstelling van zaken wel erg door de Engelse geschiedenis	gekleurd	is , waar ` class ' tot voor kort de politiek bepaalde	nrc_handelsblad_20021011_5236
12	gekleurd/adj/nrc_handelsblad_20031128_650/23	des Vaderlands ligt er uitgestorven bij . Een groepje fors gebouwde mannen met opvallend licht	gekleurde	ogen komt de trappen van het mausoleum aflopen met bezems in de hand : ze	nrc_handelsblad_20031128_650
13	gekleurd/adj/nrc_handelsblad_20000902_3/602	zijn , met donkerblond haar . Ook had hij als Sonja een voorkeur voor feestelijk	gekleurde	, ' Caraïbische ' kleding . ' Maar dat is een stijl voor donker getinte	nrc_handelsblad_20000902_3
