id	left	target	right	file
herinner/verb/nrc_handelsblad_20031006_83/62	"Faber en Taco van den Honert , maar stonden zelf met lege handen 	 ,"	herinnert	Thole zich . Eén seizoen duurde die martelgang slechts , maar ook na de promotie	nrc_handelsblad_20031006_83
herinner/verb/nrc_handelsblad_19991229_130/240	eerste mannenploeg speelt in de tweede divisie , de vrouwen een klasse hoger . Niets	herinnert	bij Inter Rijswijk nog aan de grote successen van weleer . De kleuren van Blokkeer	nrc_handelsblad_19991229_130
herinner/verb/nrc_handelsblad_20000202_87/1054	Daar , aan de andere kant van de landtong richting het zuidelijke eiland Hainan ,	herinneren	alleen de geconfisqueerde auto's nog aan de hoogtijdagen van smokkelindustrie . De politie rijdt in	nrc_handelsblad_20000202_87
herinner/verb/nrc_handelsblad_20001228_63/379	te passen in een van zijn volgende films . Metallinós verdedigt zich met eraan te	herinneren	dat hij de begrafenis had geleid op verzoek van de naast familie , en dat	nrc_handelsblad_20001228_63
herinner/verb/nrc_handelsblad_19991214_106/237	zich op een nieuwe lening van het IMF om zijn beweringen te staven . Ook	herinnerde	Vasile aan de internationale lof die Roemenië heeft geoogst en de uitnodiging om toetredingsgesprekken met	nrc_handelsblad_19991214_106
herinner/verb/nrc_handelsblad_20000812_94/45	Zelf ontsnapte Pasquini twee jaar geleden aan een aanslag . Een gat in de muur	herinnert	aan de bom onder zijn stoel in de burgemeesterskamer , waar hij net even niet	nrc_handelsblad_20000812_94
herinner/verb/nrc_handelsblad_20010317_62/115	( 33 ) Hermsen in haar slaap . Yvonne vond haar 's morgens . Ze	herinnerde	zich haar EHBO-cursussen voor kinderen en volwassenen . Bij kinderen altijd reanimeren . Ze ging	nrc_handelsblad_20010317_62
herinner/verb/nrc_handelsblad_20000818_16/767	nationale veerkracht op de proef werd gesteld , onze beste leiders werden vermoord . Ik	herinner	met gesprekken met mijn vrouw Tipper toen , onze twijfels over de Vietnam-oorlog . Maar	nrc_handelsblad_20000818_16
herinner/verb/nrc_handelsblad_20020517_1006/201	Zo'n dialoog kan leiden tot wegen die de kunstenaar anders nooit had genomen . Zo	herinner	ik mij een gesprek met de Spaanse kunstenaar Juan Munoz , uitgenodigd om een installatie	nrc_handelsblad_20020517_1006
herinner/verb/nrc_handelsblad_20020309_65/356	, omdat er veel meer patiënten aan meededen . In een redactioneel commentaar wordt eraan	herinnerd	dat het homeopathische medicijn maar één onderdeel is van een veelomvattende , op het individu	nrc_handelsblad_20020309_65
herinner/verb/nrc_handelsblad_20000323_10/313	, zegt Leahy . De laatste grote staking die hij zich in de staalindustrie kan	herinneren	"in Engeland was in 1980 . 	 Dat er nu veel minder mensen in de"	nrc_handelsblad_20000323_10
herinner/verb/nrc_handelsblad_20011020_123/253	hij uitkwam als anti-christelijk werd bekritiseerd , onder de nieuwe wet verboden is . Verder	herinnert	hij aan een grap in Not the Nine O'Clock News . Bij een beeld van	nrc_handelsblad_20011020_123
