	id	left	target	right	file
199	herstel/verb/het_laatste_nieuws_19990416_01_123/184	zal hier zeker toe bijdragen . De fietsclub zal ook instaan voor vorming zoals het	herstellen	van fietsen en de coördinatie van de fietsevenementen van de diverse afdelingen . Daarenboven zal	het_laatste_nieuws_19990416_01_123
200	herstel/verb/het_laatste_nieuws_20000519_01_586/168	hopeloos duikelende Decaesstecker . Oostende had een tiental minuten om zich van die opdoffer te	herstellen	, maar kreeg kort daarop een nieuwe mokerslag . Grymonprez stuurde Feys weg en de	het_laatste_nieuws_20000519_01_586
201	herstel/verb/het_laatste_nieuws_20000307_01_256/271	de telefoonmaatschappij richtte . andquot; Daarin vragen we dat Belgacom het voetpad binnen de maand	herstelt	andquot; , zegt Paul Goeminne . ( GPL ) Het verzakte voetpad op de hoek	het_laatste_nieuws_20000307_01_256
202	herstel/verb/het_nieuwsblad_20000122_01_207/585	Simonis , Theissen , Vanden Bergh , Wavreille . ANTWERP Goots en Da Silva zijn	hersteld	van griep . Geert Emmerechts trainde mee , maar blijft twijfelachtig . De kern :	het_nieuwsblad_20000122_01_207
203	herstel/verb/het_nieuwsblad_20020306_01_246/53	in het anders godvergeten Henegouwse plaatsje . Zo ook Jurgen Van Loocke , die intussen	hersteld	is van zijn zware valpartij . Drie weken geleden brak zijn zadelpen af op training	het_nieuwsblad_20020306_01_246
204	herstel/verb/het_nieuwsblad_20011201_01_363/190	, Viscaal en Willockx . GEEL Vamesu komt terug uit schorsing . Piefort en Geeroms	herstelden	van een griepaanval . Magerman ( voet ) moet een scanneronderzoek ondergaan . Caushllari en	het_nieuwsblad_20011201_01_363
205	herstel/verb/het_nieuwsblad_20020123_01_156/169	keren . Jonas Tamsyn gaf wegens examens forfait , maar middenman Piet Braeckevelt was voldoende	hersteld	"om te hernemen . Hij speelde afwisselend met Thijs Van Goethem 	 , aldus nog"	het_nieuwsblad_20020123_01_156
206	herstel/verb/het_nieuwsblad_20041030_01_704/216	"	 Als ik voorzitter word , zal de VLD het economisch liberalisme weer in eer"	herstellen	. We moeten af van dat linkse liberalisme waar de partij nu al jaren bij	het_nieuwsblad_20041030_01_704
207	herstel/verb/het_nieuwsblad_20020729_01_142/59	hebben , aan bod . Met een doelpunt voor , en een na de rust	herstelden	ze het evenwicht . Toch kon Joeri Croes in de slotfase nog verrassend zorgen voor	het_nieuwsblad_20020729_01_142
208	herstel/verb/het_nieuwsblad_20020213_01_11/175	weken niet meer getraind , en hopelijk is die rust voldoende geweest om helemaal te	herstellen	"	 , zegt ze . 	 Maar een paar balletjes slaan tegen kinderen is geen"	het_nieuwsblad_20020213_01_11
209	herstel/verb/het_nieuwsblad_19990424_01_423/84	Markt en Dender . Met de herinrichting ervan wil het stadsbestuur de pleinfunctie in ere	herstellen	. AALST Luc Schoonejans De Oude Vismarkt mag gezien worden , vormt inderdaad een verademing	het_nieuwsblad_19990424_01_423
210	herstel/verb/het_nieuwsblad_19990309_01_373/176	Antwerpse . Julien Varendonck uit Antwerpen kwam maandag naar de camping om de schade te	herstellen	. De daders hadden bij hem de aluminium stijlen van zijn caravan verwrongen . zij	het_nieuwsblad_19990309_01_373
211	herstel/verb/het_nieuwsblad_20040123_01_364/133	Het gesloopte pand werd in 1785 gebouwd als pastorie . In 1941 werd het gebouw	hersteld	van de oorlogsschade en heringericht tot gemeentehuis . In de loods ernaast was ooit een	het_nieuwsblad_20040123_01_364
212	herstel/verb/het_nieuwsblad_20000122_01_124/585	Simonis , Theissen , Vanden Bergh , Wavreille . ANTWERP Goots en Da Silva zijn	hersteld	van griep . Geert Emmerechts trainde mee , maar blijft twijfelachtig . De kern :	het_nieuwsblad_20000122_01_124
213	herstel/verb/het_nieuwsblad_20010517_01_166/248	niet door een brand worden geteisterd . In dat geval mogen ze slechts hun woning	herstellen	, maar niet een nieuwe woonst bouwen . Een tweede soort zonevreemde woningen zijn deze	het_nieuwsblad_20010517_01_166
214	herstel/verb/het_nieuwsblad_20020226_01_138/287	meer kan ontlopen , een zware blessure in de voorbereidingsperiode op . Hij is intussen	hersteld	"en wil inleveren om opnieuw bij Aalter te mogen voetballen . 	 We mogen geen"	het_nieuwsblad_20020226_01_138
215	herstel/verb/het_nieuwsblad_19990824_01_441/2	Gemeente	herstelt	en verbetert wegen PUTTE Het gemeentebestuur heeft opdracht gegeven een aantal gemeentelijke wegen te verbeteren	het_nieuwsblad_19990824_01_441
216	herstel/verb/het_nieuwsblad_20030301_01_27/96	Uganda weg te halen . We zijn ervan overtuigd dat ze in eigen land moeten	herstellen	van hun trauma's en er werken aan de heropbouw van hun leven en hun land	het_nieuwsblad_20030301_01_27
