id	left	target	right	file
blik/noun/nrc_handelsblad_20020426_21/29	is eigenlijk erg gelukkig . Hij woont in een huis dat geheel is opgetrokken uit	blik	, en waarvan de luiken altijd gesloten zijn ` want er is niets te zien	nrc_handelsblad_20020426_21
blik/noun/nrc_handelsblad_20010313_55/749	de moderne techniek . Jürgen Habermas heeft Heidegger terecht bekritiseerd om deze inktzwarte ` nivellerende	blik	' , waarin alle katten grauw worden . Voor een minder metafysische geest is het	nrc_handelsblad_20010313_55
blik/noun/nrc_handelsblad_20031112_100/330	gaat het nu . De botte Genee beschuldigde zijn twee collega's van een te verliefde	blik	in de richting van jongenszanger Roel Felius , en maakte het nog erger door de	nrc_handelsblad_20031112_100
blik/noun/nrc_handelsblad_20040506_133/424	geen twijfel over bestaan waar zijn sympathie ligt , vooral door een laatste , weemoedige	blik	op de boekenkast van Rémy , maar dringt nergens zijn visie hinderlijk op . Ondanks	nrc_handelsblad_20040506_133
blik/noun/nrc_handelsblad_20010111_49/925	Oida leerde me introvert te dansen . Inmiddels ben ik dus zover dat ik de	blik	"naarbinnen richt terwijl ik op de bühne stá . 	 Wat is het verschil tussen"	nrc_handelsblad_20010111_49
blik/noun/nrc_handelsblad_20020424_99/156	ze de ongetrouwde tante van de op Woody Allen geïnspireerde hoofdpersoon . Onvergetelijk is de	blik	waarmee Wiest opkeek naar de voor het huwelijk ongeschikte mannen die haar mee uitnamen ,	nrc_handelsblad_20020424_99
blik/noun/nrc_handelsblad_20000412_47/385	lachen ? Absoluut . Scenarioschrijver Jan Blokker heeft met een sterk inlevingsvermogen en een scherpe	blik	prachtige situaties neergezet . Wat hem voor ogen stond was het maken van een serie	nrc_handelsblad_20000412_47
blik/noun/nrc_handelsblad_20020515_42/298	"hij herhalen . 	 Nu keek ik de laatste dagen om mij heen met een"	blik	van : wat zal ik nu eens doen ? Ik ben maar gaan wandelen en	nrc_handelsblad_20020515_42
blik/noun/nrc_handelsblad_20030714_78/103	"race . Nieuweling Eggenkamp was gelukkig : 	 Mijn eerste finale in Luzern en gelijk"	blik	". 	 Slag Bartman meent dat nog verbeteringen kunnen worden aangebracht , waardoor goud in"	nrc_handelsblad_20030714_78
blik/noun/nrc_handelsblad_20011208_27/1361	1975 bij IJmuiden nog steeds het grootste van West-Europa . Het boek besluit met een	blik	op de toekomst . Want Amsterdam wil een nieuwe sluis , nog groter dan de	nrc_handelsblad_20011208_27
blik/noun/nrc_handelsblad_20020122_82/106	"	 , zegt winkeleigenaar Ali om drie uur 's middags , terwijl hij een mismoedige"	blik	werpt op zijn Iraakse medewerkers , die aan hun zoveelste kopje thee begonnen zijn .	nrc_handelsblad_20020122_82
blik/noun/nrc_handelsblad_20031007_73/34	Puttelaar tot Robert Mapplethorpe nog een puntje kunnen zuigen . Het voordeel van deze moderne	blik	is ontegenzeggelijk dat Andriesses werk erdoor uit de stoffige wederopbouwsfeer wordt getild . Maar daar	nrc_handelsblad_20031007_73
blik/noun/nrc_handelsblad_20030523_90/263	. Die moest een synthese worden van de Italiaanse aandacht voor melodiebouw , de Franse	blik	op drama en tekstvoordracht en het Duitse meesterschap in harmoniek , instrumentatie en ware gevoelsernst	nrc_handelsblad_20030523_90
blik/noun/nrc_handelsblad_20001027_140/737	waargenomen . Veel beter dan de verschillende vervolgen en imitaties en wel beschouwd als Spielbergs	blik	op de schaduwzijde van E.T. BBC1 , 0.05-2.00u. The Baby ( Ted Post , 1973	nrc_handelsblad_20001027_140
blik/noun/nrc_handelsblad_20020412_190/176	tentoonstelling La Révolution Surréaliste . Gezien het moeiteloze beroep dat de posterijen doen op de	blik	van het grote publiek , is de titel van de expositie een verwijzing naar het	nrc_handelsblad_20020412_190
blik/noun/nrc_handelsblad_20010829_54/53	bedreigd in New Delhi . Vroeger konden paartjes naar de bioscoop . Om aan de	blikken	van tantes en ooms te ontkomen slopen ze om de beurt naar binnen . Ze	nrc_handelsblad_20010829_54
blik/noun/nrc_handelsblad_19991224_53/651	door één en dezelfde fotograaf . Stuk voor stuk zijn ze gemaakt met eenzelfde sobere	blik	die tegelijkertijd afstandelijk en inlevend is . Alles op die foto's is bedoeld om in	nrc_handelsblad_19991224_53
blik/noun/nrc_handelsblad_20040320_177/89	. Dan komt er een auto aan waaruit een bom-bom-bom-bom klinkt , door glas en	blik	heen . Niet eens hard , maar het verscheurt de stilte . Dat is een	nrc_handelsblad_20040320_177
blik/noun/nrc_handelsblad_20040318_152/215	een van ` zijn ' fauteuils . Dat ` losjes ' is schijn , zijn	blik	schiet van de ene naar de andere hoek , om in de gaten te houden	nrc_handelsblad_20040318_152
blik/noun/nrc_handelsblad_20020629_119/985	masse gevallen voor de vrolijke voetbalheld . Bijna elke avond liep hij met een guitige	blik	over de Champs-Elysées te paraderen . Vraag is of de 22-jarige Ronaldinho de onschuld zelve	nrc_handelsblad_20020629_119
blik/noun/nrc_handelsblad_20000323_59/143	hemelsbrede uithalen de dag zegent , dwingt hij zijn toehoorder als vanzelf tot een verzaligde	blik	op de wereld achter het raamkozijn . De negentien liederen en gezangen van Brahms (	nrc_handelsblad_20000323_59
blik/noun/nrc_handelsblad_20010818_66/313	met een brede glimlach verwelkomen , en de stoere piloten die in de cockpit steelse	blikken	uitwisselen met de perfect opgemaakte cabin attendants . Het zijn beelden die je ook in	nrc_handelsblad_20010818_66
blik/noun/nrc_handelsblad_20031205f_120/39	Jorge Franco had een gelukkige jeugd . Zijn vader had een fabriek waar voedsel in	blik	"werd gemaakt . Hij werd opgevoed door zijn moeder en drie jongere zussen . 	"	nrc_handelsblad_20031205f_120
blik/noun/nrc_handelsblad_19990403_18/1494	en maskers waarop ziekten worden afgebeeld . De Smet : ` ` Met een Westerse	blik	kijk je ernaar als interessante afbeeldingen van ziektes . Ik heb me daar in zekere	nrc_handelsblad_19990403_18
blik/noun/nrc_handelsblad_20001205_121/351	regie . Enerzijds geeft hij de pubers zware tics mee : het meisje een starre	blik	, de jongen een overdaad aan taal en een belachelijk onhandige motoriek . Zo wekt	nrc_handelsblad_20001205_121
blik/noun/nrc_handelsblad_20010118_106/329	"	 Het is zaak hier overeind te blijven 	 , zei Heideman met een zorgelijke"	blik	op de stoeprand langs de baan . Voordeel : bij het sproeien kon het water	nrc_handelsblad_20010118_106
blik/noun/nrc_handelsblad_20020604_38/542	met het verpakken beheerst , is nog maar halverwege . Als de koffie uit het	blik	komt kan er nog van alles misgaan . Er zou een voor de helft tot	nrc_handelsblad_20020604_38
blik/noun/nrc_handelsblad_20010315_169/337	het ooit zo hermetisch vergrendelde land zette hij op de kiek . Met een nieuwsgierig-analytische	blik	en milde ironie toont Moses de emoties van mensen en dingen . Zijn foto's zijn	nrc_handelsblad_20010315_169
blik/noun/nrc_handelsblad_20010214_24/354	ouders is gekozen . Eigen partnerkeus , afspraakjes , het uitwisselen van briefjes , steelse	blikken	en ander vertoon van wederzijdse genegenheid - het zijn gedragingen die tot voor kort onbekend	nrc_handelsblad_20010214_24
blik/noun/nrc_handelsblad_20010830_139/173	hoofd weg . Hij gaat verzitten , klemt zijn kaken op elkaar en richt zijn	blik	op de publieke tribune . Del Ponte zegt dat dit nu eenmaal een grote zaak	nrc_handelsblad_20010830_139
blik/noun/nrc_handelsblad_20030906_205/251	komen , al gaan ze ook weer niet zo ver om te zeggen ` uit	blik	' . Ze houden het gewoon in het midden . En cavolo nero komt toch	nrc_handelsblad_20030906_205
blik/noun/nrc_handelsblad_19990707_120/617	Amro de oprichting van een divisie Europa aan . Ahold verlegde eind jaren zeventig zijn	blik	op de Verenigde Staten na een mislukt avontuur in Spanje . Nu is het concern	nrc_handelsblad_19990707_120
blik/noun/nrc_handelsblad_20030523_75/5	De keuze om de	blik	een tijdje exclusief op het kleine scherm te richten is vrijwillig en weloverwogen , maar	nrc_handelsblad_20030523_75
blik/noun/nrc_handelsblad_20010226_54/504	Ter Veldhuis-muziek , omspeeld met werken van componisten voor wie hij verwantschap voelt . Een	blik	op het festivalprogramma levert een even veelzijdig als veelzeggend lijstje op . De swing van	nrc_handelsblad_20010226_54
blik/noun/nrc_handelsblad_20040408_82/201	"	 Hij wijst naar een achterneefje dat achter de piano zit en met een dromerige"	blik	"toetsen indrukt . 	 Wat mijn dochters eraan zullen hebben is nog niet duidelijk ."	nrc_handelsblad_20040408_82
