_id	_cws.heilzaam.foc10.nav.weight.bound	_count.heilzaam.foc10.nav.weight.bound	_cws.heilzaam.foc10.nav.selection.bound	_count.heilzaam.foc10.nav.selection.bound	_cws.heilzaam.foc10.nav.no.bound	_count.heilzaam.foc10.nav.no.bound	_cws.heilzaam.foc10.all.weight.bound	_count.heilzaam.foc10.all.weight.bound	_cws.heilzaam.foc10.all.selection.bound	_count.heilzaam.foc10.all.selection.bound	_cws.heilzaam.foc10.all.no.bound	_count.heilzaam.foc10.all.no.bound	_cws.heilzaam.foc5.nav.weight.bound	_count.heilzaam.foc5.nav.weight.bound	_cws.heilzaam.foc5.nav.selection.bound	_count.heilzaam.foc5.nav.selection.bound	_cws.heilzaam.foc5.nav.no.bound	_count.heilzaam.foc5.nav.no.bound	_cws.heilzaam.foc5.all.weight.bound	_count.heilzaam.foc5.all.weight.bound	_cws.heilzaam.foc5.all.selection.bound	_count.heilzaam.foc5.all.selection.bound	_cws.heilzaam.foc5.all.no.bound	_count.heilzaam.foc5.all.no.bound
heilzaam/adj/volkskrant_20040303_30/51	emeritus_hoogleraar/noun;heb/verb;kritiek/noun;psychologie/noun;werk/verb	5	emeritus_hoogleraar/noun;heb/verb;kritiek/noun;psychologie/noun;werk/verb	5	emeritus_hoogleraar/noun;heb/verb;kritiek/noun;psychologie/noun;werk/verb	5	emeritus_hoogleraar/noun;heb/verb;kritiek/noun;psychologie/noun;volgens/prep;werk/verb	6	emeritus_hoogleraar/noun;heb/verb;kritiek/noun;psychologie/noun;volgens/prep;werk/verb	6	emeritus_hoogleraar/noun;heb/verb;kritiek/noun;psychologie/noun;volgens/prep;werk/verb	6	heb/verb;kritiek/noun;werk/verb	3	heb/verb;kritiek/noun;werk/verb	3	heb/verb;kritiek/noun;werk/verb	3	heb/verb;kritiek/noun;werk/verb	3	heb/verb;kritiek/noun;werk/verb	3	heb/verb;kritiek/noun;werk/verb	3
heilzaam/adj/volkskrant_20010512_23/25	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;bij/prep;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	7	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	6	ben/verb;bij/prep;onderzoek/noun;persoonlijkheid_stoornis/noun;systematisch/adj;toon_aan/verb;zelden/adj	7
heilzaam/adj/volkskrant_20000120_70/940	bedevaart/noun;ben/verb;dood/noun;kan/verb;leef/verb	5	bedevaart/noun;ben/verb;dood/noun;kan/verb;leef/verb	5	bedevaart/noun;ben/verb;dood/noun;kan/verb;leef/verb	5	alle/adv;bedevaart/noun;ben/verb;bijvoorbeeld/adv;de/det;dood/noun;een/det;het/det;kan/verb;leef/verb;voor/prep	11	alle/adv;bedevaart/noun;ben/verb;bijvoorbeeld/adv;de/det;dood/noun;een/det;het/det;kan/verb;leef/verb;voor/prep	11	alle/adv;bedevaart/noun;ben/verb;bijvoorbeeld/adv;de/det;dood/noun;door/prep;een/det;het/det;kan/verb;leef/verb;na/prep;voor/prep;ze/pron	14	ben/verb;kan/verb;leef/verb	3	ben/verb;kan/verb;leef/verb	3	ben/verb;kan/verb;leef/verb	3	alle/adv;ben/verb;bijvoorbeeld/adv;het/det;kan/verb;leef/verb;voor/prep	7	alle/adv;ben/verb;bijvoorbeeld/adv;het/det;kan/verb;leef/verb;voor/prep	7	alle/adv;ben/verb;bijvoorbeeld/adv;het/det;kan/verb;leef/verb;na/prep;voor/prep;ze/pron	9
heilzaam/adj/volkskrant_20021012_147/1205	Palestijn/noun;ben/verb;conflict/noun;effect/noun;heb/verb;idealist/noun;neo_conservatief/adj;om_verwerping/noun;zal/verb	9	Palestijn/noun;ben/verb;conflict/noun;effect/noun;heb/verb;idealist/noun;neo_conservatief/adj;om_verwerping/noun;zal/verb	9	Palestijn/noun;ben/verb;conflict/noun;effect/noun;heb/verb;idealist/noun;neo_conservatief/adj;om_verwerping/noun;zal/verb	9	Palestijn/noun;ben/verb;conflict/noun;de/det;een/det;effect/noun;heb/verb;het/det;idealist/noun;neo_conservatief/adj;om_verwerping/noun;ook/adv;op/prep;van/prep;zal/verb	15	Palestijn/noun;ben/verb;conflict/noun;de/det;een/det;effect/noun;heb/verb;het/det;idealist/noun;neo_conservatief/adj;om_verwerping/noun;ook/adv;op/prep;van/prep;zal/verb	15	Palestijn/noun;ben/verb;conflict/noun;de/det;een/det;effect/noun;heb/verb;het/det;idealist/noun;neo_conservatief/adj;om_verwerping/noun;ook/adv;op/prep;tussen/prep;van/prep;zal/verb	16	effect/noun;heb/verb;zal/verb	3	effect/noun;heb/verb;zal/verb	3	effect/noun;heb/verb;zal/verb	3	een/det;effect/noun;heb/verb;het/det;ook/adv;op/prep;van/prep;zal/verb	8	een/det;effect/noun;heb/verb;het/det;ook/adv;op/prep;van/prep;zal/verb	8	een/det;effect/noun;heb/verb;het/det;ook/adv;op/prep;van/prep;zal/verb	8
heilzaam/adj/volkskrant_20010818_71/546	belijd/verb;transparantie/noun;vaak/adj;werking/noun	4	belijd/verb;transparantie/noun;vaak/adj;werking/noun	4	belijd/verb;transparantie/noun;vaak/adj;werking/noun;word/verb	5	belijd/verb;de/det;steeds/adv;transparantie/noun;vaak/adj;van/prep;werking/noun	7	belijd/verb;de/det;steeds/adv;transparantie/noun;vaak/adj;van/prep;werking/noun	7	belijd/verb;de/det;steeds/adv;transparantie/noun;vaak/adj;van/prep;werking/noun;word/verb	8	transparantie/noun;werking/noun	2	transparantie/noun;werking/noun	2	transparantie/noun;werking/noun;word/verb	3	de/det;steeds/adv;transparantie/noun;van/prep;werking/noun	5	de/det;steeds/adv;transparantie/noun;van/prep;werking/noun	5	de/det;steeds/adv;transparantie/noun;van/prep;werking/noun;word/verb	6
heilzaam/adj/volkskrant_20010118_127/350	controle/noun;ga_uit/verb;gebeurtenis/noun;les/noun;naleving/noun;regelgeving/noun;werking/noun	7	controle/noun;ga_uit/verb;gebeurtenis/noun;les/noun;naleving/noun;regelgeving/noun;werking/noun	7	controle/noun;ga_uit/verb;gebeurtenis/noun;les/noun;naleving/noun;regelgeving/noun;veel/adj;werking/noun;word/verb	9	controle/noun;de/det;ga_uit/verb;gebeurtenis/noun;les/noun;naleving/noun;op/prep;regelgeving/noun;van/prep;werking/noun	10	controle/noun;de/det;ga_uit/verb;gebeurtenis/noun;les/noun;naleving/noun;op/prep;regelgeving/noun;van/prep;werking/noun	10	controle/noun;de/det;ga_uit/verb;gebeurtenis/noun;les/noun;naleving/noun;op/prep;regelgeving/noun;te/adv;uit/prep;van/prep;veel/adj;werking/noun;word/verb	14	controle/noun;ga_uit/verb;regelgeving/noun;werking/noun	4	controle/noun;ga_uit/verb;regelgeving/noun;werking/noun	4	controle/noun;ga_uit/verb;regelgeving/noun;veel/adj;werking/noun	5	controle/noun;ga_uit/verb;regelgeving/noun;van/prep;werking/noun	5	controle/noun;ga_uit/verb;regelgeving/noun;van/prep;werking/noun	5	controle/noun;ga_uit/verb;regelgeving/noun;te/adv;van/prep;veel/adj;werking/noun	7
heilzaam/adj/volkskrant_20020104_67/265	ben/verb;continent/noun;heb/verb;historisch/adj;opgaaf/noun;risico/noun;werking/noun	7	ben/verb;continent/noun;heb/verb;historisch/adj;opgaaf/noun;risico/noun;werking/noun	7	ben/verb;continent/noun;duidelijk/adj;heb/verb;historisch/adj;opgaaf/noun;risico/noun;werking/noun	8	ben/verb;continent/noun;dat/det;die/pron;een/det;heb/verb;het/det;historisch/adj;op/prep;opgaaf/noun;risico/noun;werking/noun	12	ben/verb;continent/noun;dat/det;die/pron;een/det;heb/verb;het/det;historisch/adj;op/prep;opgaaf/noun;risico/noun;werking/noun	12	ben/verb;continent/noun;dat/det;die/pron;duidelijk/adj;een/det;heb/verb;het/det;historisch/adj;met/prep;minder/det;nog/adv;op/prep;opgaaf/noun;risico/noun;werking/noun;zich/pron	17	continent/noun;heb/verb;opgaaf/noun;werking/noun	4	continent/noun;heb/verb;opgaaf/noun;werking/noun	4	continent/noun;duidelijk/adj;heb/verb;opgaaf/noun;werking/noun	5	continent/noun;die/pron;een/det;heb/verb;het/det;op/prep;opgaaf/noun;werking/noun	8	continent/noun;die/pron;een/det;heb/verb;het/det;op/prep;opgaaf/noun;werking/noun	8	continent/noun;die/pron;duidelijk/adj;een/det;heb/verb;het/det;nog/adv;op/prep;opgaaf/noun;werking/noun	10
heilzaam/adj/volkskrant_20020517_17/1100	heb/verb;les/noun;regent/noun;vergeet/verb;volk/noun;zal/verb	6	heb/verb;les/noun;regent/noun;vergeet/verb;volk/noun;zal/verb	6	Nederlands/adj;geef/verb;heb/verb;les/noun;licht/adj;regent/noun;vergeet/verb;volk/noun;zal/verb	9	die/pron;een/det;heb/verb;het/det;les/noun;niet/adv;regent/noun;vergeet/verb;volk/noun;zal/verb	10	die/pron;een/det;heb/verb;het/det;les/noun;niet/adv;regent/noun;vergeet/verb;volk/noun;zal/verb	10	Nederlands/adj;die/pron;een/det;geef/verb;heb/verb;het/det;les/noun;licht/adj;niet/adv;regent/noun;vergeet/verb;volk/noun;zal/verb;ze/pron;zijn/det	15	heb/verb;les/noun;regent/noun;volk/noun	4	heb/verb;les/noun;regent/noun;volk/noun	4	geef/verb;heb/verb;les/noun;regent/noun;volk/noun	5	die/pron;een/det;heb/verb;les/noun;niet/adv;regent/noun;volk/noun	7	die/pron;een/det;heb/verb;les/noun;niet/adv;regent/noun;volk/noun	7	die/pron;een/det;geef/verb;heb/verb;les/noun;niet/adv;regent/noun;volk/noun;ze/pron;zijn/det	10
heilzaam/adj/volkskrant_20031115_225/251	ben/verb;lijk/verb;modern/adj;ongelijkheid/noun;sociaal/adj;weg/noun	6	ben/verb;lijk/verb;modern/adj;ongelijkheid/noun;sociaal/adj;weg/noun	6	ben/verb;groei/verb;lijk/verb;modern/adj;ongelijkheid/noun;sociaal/adj;weg/noun	7	ben/verb;de/det;die/pron;het/det;lijk/verb;modern/adj;niet/adv;ongelijkheid/noun;ooit/adv;sociaal/adj;weg/noun	11	ben/verb;de/det;die/pron;het/det;lijk/verb;modern/adj;niet/adv;ongelijkheid/noun;ooit/adv;sociaal/adj;weg/noun	11	ben/verb;de/det;die/pron;groei/verb;het/det;lijk/verb;meer/adv;modern/adj;niet/adv;ongelijkheid/noun;ooit/adv;sociaal/adj;weg/noun	13	ben/verb;lijk/verb;weg/noun	3	ben/verb;lijk/verb;weg/noun	3	ben/verb;lijk/verb;weg/noun	3	ben/verb;de/det;die/pron;het/det;lijk/verb;niet/adv;ooit/adv;weg/noun	8	ben/verb;de/det;die/pron;het/det;lijk/verb;niet/adv;ooit/adv;weg/noun	8	ben/verb;de/det;die/pron;het/det;lijk/verb;meer/adv;niet/adv;ooit/adv;weg/noun	9
heilzaam/adj/volkskrant_20010323_157/89	geval/noun;heb/verb;hoe/adj;kritiek/noun;medium/noun;onderling/adj	6	geval/noun;heb/verb;hoe/adj;kritiek/noun;medium/noun;onderling/adj	6	geval/noun;heb/verb;hoe/adj;kritiek/noun;laat/verb;medium/noun;onderling/adj	7	de/det;geval/noun;heb/verb;het/det;hoe/adj;kritiek/noun;medium/noun;onderling/adj	8	de/det;geval/noun;heb/verb;het/det;hoe/adj;kritiek/noun;medium/noun;onderling/adj	8	de/det;geval/noun;heb/verb;het/det;hoe/adj;ik/pron;in/prep;kritiek/noun;laat/verb;medium/noun;onderling/adj	11	hoe/adj;kritiek/noun;medium/noun;onderling/adj	4	hoe/adj;kritiek/noun;medium/noun;onderling/adj	4	hoe/adj;kritiek/noun;laat/verb;medium/noun;onderling/adj	5	de/det;hoe/adj;kritiek/noun;medium/noun;onderling/adj	5	de/det;hoe/adj;kritiek/noun;medium/noun;onderling/adj	5	de/det;hoe/adj;ik/pron;kritiek/noun;laat/verb;medium/noun;onderling/adj	7
