	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
geestig/adj/nrc_handelsblad_20000915_33/805/L6	geestig/adj/nrc_handelsblad_20000915_33/805	L6	,	punct	,/punct	,	True	L	7			
geestig/adj/nrc_handelsblad_20000915_33/805/L7	geestig/adj/nrc_handelsblad_20000915_33/805	L7	liefde	noun	liefde/noun	liefde	True	L	8	0.9403427	41505.0	16.0
geestig/adj/nrc_handelsblad_20000915_33/805/L8	geestig/adj/nrc_handelsblad_20000915_33/805	L8	modern	adj	modern/adj	moderne	True	L	9	1.042347	44228.0	19.0
geestig/adj/nrc_handelsblad_20000915_33/805/L9	geestig/adj/nrc_handelsblad_20000915_33/805	L9	de	det	de/det	de	True	L	10	-0.34015357	28074105.0	3021.0
geestig/adj/nrc_handelsblad_20000915_33/805/L10	geestig/adj/nrc_handelsblad_20000915_33/805	L10	van	prep	van/prep	van	True	L	11	-0.10687933	12638933.0	1718.0
geestig/adj/nrc_handelsblad_20000915_33/805/L11	geestig/adj/nrc_handelsblad_20000915_33/805	L11	klem	noun	klem/noun	klemmen	True	L	12			
geestig/adj/nrc_handelsblad_20000915_33/805/L12	geestig/adj/nrc_handelsblad_20000915_33/805	L12	en	vg	en/vg	en	True	L	13			
geestig/adj/nrc_handelsblad_20000915_33/805/L13	geestig/adj/nrc_handelsblad_20000915_33/805	L13	voet_angel	noun	voet_angel/noun	voetangels	True	L	14			
geestig/adj/nrc_handelsblad_20000915_33/805/L14	geestig/adj/nrc_handelsblad_20000915_33/805	L14	de	det	de/det	de	True	L	15	-0.34015357	28074105.0	3021.0
geestig/adj/nrc_handelsblad_20000915_33/805/L15												
geestig/adj/nrc_handelsblad_20000915_33/805/R0	geestig/adj/nrc_handelsblad_20000915_33/805	R0	portret	noun	portret/noun	portret	True	R	1	2.7678728	18296.0	44.0
geestig/adj/nrc_handelsblad_20000915_33/805/R1	geestig/adj/nrc_handelsblad_20000915_33/805	R1	van	prep	van/prep	van	True	R	2	-0.10687933	12638933.0	1718.0
geestig/adj/nrc_handelsblad_20000915_33/805/R2	geestig/adj/nrc_handelsblad_20000915_33/805	R2	een	det	een/det	een	True	R	3	0.27271274	11075723.0	2204.0
geestig/adj/nrc_handelsblad_20000915_33/805/R3	geestig/adj/nrc_handelsblad_20000915_33/805	R3	groep_DIM	noun	groep_DIM/noun	groepje	True	R	4	0.34674153	13951.0	3.0
geestig/adj/nrc_handelsblad_20000915_33/805/R4	geestig/adj/nrc_handelsblad_20000915_33/805	R4	twintiger	noun	twintiger/noun	twintigers	True	R	5	1.4520216000000001	3105.0	2.0
geestig/adj/nrc_handelsblad_20000915_33/805/R5	geestig/adj/nrc_handelsblad_20000915_33/805	R5	in	prep	in/prep	in	True	R	6	-0.17375587	9492181.0	1204.0
geestig/adj/nrc_handelsblad_20000915_33/805/R6	geestig/adj/nrc_handelsblad_20000915_33/805	R6	het	det	het/det	het	True	R	7	-0.028987847	11650779.0	1712.0
geestig/adj/nrc_handelsblad_20000915_33/805/R7	geestig/adj/nrc_handelsblad_20000915_33/805	R7	dorp	noun	dorp/noun	dorp	True	R	8	-1.0406199	37386.0	2.0
geestig/adj/nrc_handelsblad_20000915_33/805/R8	geestig/adj/nrc_handelsblad_20000915_33/805	R8	Amsterdam	name	Amsterdam/name	Amsterdam	True	R	9			
geestig/adj/nrc_handelsblad_20000915_33/805/R9	geestig/adj/nrc_handelsblad_20000915_33/805	R9	,	punct	,/punct	,	True	R	10			
geestig/adj/nrc_handelsblad_20000915_33/805/R10	geestig/adj/nrc_handelsblad_20000915_33/805	R10	waar	adv	waar/adv	waar	True	R	11	-0.64540935	363546.0	29.0
geestig/adj/nrc_handelsblad_20000915_33/805/R11	geestig/adj/nrc_handelsblad_20000915_33/805	R11	iedereen	pron	iedereen/pron	iedereen	True	R	12			
geestig/adj/nrc_handelsblad_20000915_33/805/R12	geestig/adj/nrc_handelsblad_20000915_33/805	R12	in	prep	in/prep	in	True	R	13	-0.17375587	9492181.0	1204.0
geestig/adj/nrc_handelsblad_20000915_33/805/R13	geestig/adj/nrc_handelsblad_20000915_33/805	R13	dezelfde	det	dezelfde/det	dezelfde	True	R	14	-0.05945661	97788.0	14.0
geestig/adj/nrc_handelsblad_20000915_33/805/R14	geestig/adj/nrc_handelsblad_20000915_33/805	R14	café	noun	café/noun	cafés	True	R	15	-0.40642979999999995	39812.0	4.0
geestig/adj/nrc_handelsblad_20000915_33/805/R15												
geestig/adj/nrc_handelsblad_20000818_63/2166/L0	geestig/adj/nrc_handelsblad_20000818_63/2166	L0	een	det	een/det	een	True	L	1	0.27271274	11075723.0	2204.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L1	geestig/adj/nrc_handelsblad_20000818_63/2166	L1	en	vg	en/vg	en	True	L	2			
geestig/adj/nrc_handelsblad_20000818_63/2166/L2	geestig/adj/nrc_handelsblad_20000818_63/2166	L2	zeil	verb	zeil/verb	zeilden	True	L	3	1.4185104	3204.0	2.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L3	geestig/adj/nrc_handelsblad_20000818_63/2166	L3	Batavia	name	Batavia/name	Batavia	True	L	4			
geestig/adj/nrc_handelsblad_20000818_63/2166/L4	geestig/adj/nrc_handelsblad_20000818_63/2166	L4	naar	prep	naar/prep	naar	True	L	5	-0.5637015999999999	1512452.0	130.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L5	geestig/adj/nrc_handelsblad_20000818_63/2166	L5	Vlissingen	name	Vlissingen/name	Vlissingen	True	L	6			
geestig/adj/nrc_handelsblad_20000818_63/2166/L6	geestig/adj/nrc_handelsblad_20000818_63/2166	L6	van	prep	van/prep	van	True	L	7	-0.10687933	12638933.0	1718.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L7	geestig/adj/nrc_handelsblad_20000818_63/2166	L7	passagier	noun	passagier/noun	passagiers	True	L	8	-1.1496307	20978.0	1.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L8	geestig/adj/nrc_handelsblad_20000818_63/2166	L8	geprivilegieerde	adj	geprivilegieerde/adj	geprivilegieerde	True	L	9	3.3849666	222.0	1.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L9	geestig/adj/nrc_handelsblad_20000818_63/2166	L9	als	prep	als/prep	als	True	L	10	0.5876416	1263756.0	345.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L10	geestig/adj/nrc_handelsblad_20000818_63/2166	L10	1736	noun	1736/noun	1736	True	L	11			
geestig/adj/nrc_handelsblad_20000818_63/2166/L11	geestig/adj/nrc_handelsblad_20000818_63/2166	L11	in	prep	in/prep	in	True	L	12	-0.17375587	9492181.0	1204.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L12	geestig/adj/nrc_handelsblad_20000818_63/2166	L12	die	pron	die/pron	die	True	L	13	0.30651462	2519801.0	521.0
geestig/adj/nrc_handelsblad_20000818_63/2166/L13	geestig/adj/nrc_handelsblad_20000818_63/2166	L13	,	punct	,/punct	,	True	L	14			
geestig/adj/nrc_handelsblad_20000818_63/2166/L14	geestig/adj/nrc_handelsblad_20000818_63/2166	L14	Lammens	name	Lammens/name	Lammens	True	L	15			
geestig/adj/nrc_handelsblad_20000818_63/2166/L15												
geestig/adj/nrc_handelsblad_20000818_63/2166/R0	geestig/adj/nrc_handelsblad_20000818_63/2166	R0	verslag	noun	verslag/noun	verslag	True	R	1	2.1320514999999998	16485.0	21.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R1	geestig/adj/nrc_handelsblad_20000818_63/2166	R1	van	prep	van/prep	van	True	R	2	-0.10687933	12638933.0	1718.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R2	geestig/adj/nrc_handelsblad_20000818_63/2166	R2	hun	det	hun/det	hun	True	R	3	-0.34550098	902917.0	97.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R3	geestig/adj/nrc_handelsblad_20000818_63/2166	R3	reis	noun	reis/noun	reis	True	R	4	-0.14802020000000002	30698.0	4.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R4	geestig/adj/nrc_handelsblad_20000818_63/2166	R4	heb	verb	heb/verb	hebben	True	R	5	-0.45254478	4034811.0	387.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R5	geestig/adj/nrc_handelsblad_20000818_63/2166	R5	laat_na	verb	laat_na/verb	nagelaten	True	R	6	0.40109548	8834.0	2.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R6	geestig/adj/nrc_handelsblad_20000818_63/2166	R6	.	punct	./punct	.	True	R	7			
geestig/adj/nrc_handelsblad_20000818_63/2166/R7	geestig/adj/nrc_handelsblad_20000818_63/2166	R7	sentence_delimiter	none	none	</sentence>	none	R	8			
geestig/adj/nrc_handelsblad_20000818_63/2166/R8	geestig/adj/nrc_handelsblad_20000818_63/2166	R8	sentence_delimiter	none	none	<sentence>	none	R	9			
geestig/adj/nrc_handelsblad_20000818_63/2166/R9	geestig/adj/nrc_handelsblad_20000818_63/2166	R9	verveling	noun	verveling/noun	Verveling	False	R	10			
geestig/adj/nrc_handelsblad_20000818_63/2166/R10	geestig/adj/nrc_handelsblad_20000818_63/2166	R10	kom_tegen	verb	kom_tegen/verb	komt	False	R	11			
geestig/adj/nrc_handelsblad_20000818_63/2166/R11	geestig/adj/nrc_handelsblad_20000818_63/2166	R11	men	pron	men/pron	men	False	R	12			
geestig/adj/nrc_handelsblad_20000818_63/2166/R12	geestig/adj/nrc_handelsblad_20000818_63/2166	R12	ook	adv	ook/adv	ook	False	R	13	0.39413226	2214625.0	499.0
geestig/adj/nrc_handelsblad_20000818_63/2166/R13	geestig/adj/nrc_handelsblad_20000818_63/2166	R13	tegen	part	tegen/part	tegen	False	R	14			
geestig/adj/nrc_handelsblad_20000818_63/2166/R14	geestig/adj/nrc_handelsblad_20000818_63/2166	R14	bij	prep	bij/prep	bij	False	R	15	-0.36518013	1803877.0	189.0
