_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
geestig.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.12675936146232777	-0.20070323884372163	bound	698	nav	10_10	1	weight	5000	5000	nav	4_4	272	geestig	0.2542496591206472
geestig.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.14064089856265197	-0.18096797048959906	bound	698	nav	10_10	1	weight	10000	10000	nav	4_4	272	geestig	0.25292473612622224
geestig.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.17595169177171788	-0.20618325991491	bound	698	nav	10_10	1	weight	FOC	698	nav	4_4	272	geestig	0.24935096586161196
geestig.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.1299166749231102	-0.2510388261769344	bound	698	nav	10_10	1	weight	5000	5000	nav	10_10	272	geestig	0.2410858534785602
geestig.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.1354933881931466	-0.22040042457655545	bound	698	nav	10_10	1	weight	10000	10000	nav	10_10	272	geestig	0.24476760840336015
geestig.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.166802217597624	-0.21590273092165302	bound	698	nav	10_10	1	weight	FOC	698	nav	10_10	272	geestig	0.2429773930758041
geestig.foc10.nav.weight.bound.min1.soc4.all.5000	-0.12259112026650151	-0.21209630152132428	bound	698	nav	10_10	1	weight	5000	5000	all	4_4	272	geestig	0.25470522061006007
geestig.foc10.nav.weight.bound.min1.soc4.all.10000	-0.1305741706692561	-0.18282112483418023	bound	698	nav	10_10	1	weight	10000	10000	all	4_4	272	geestig	0.25178171778876696
geestig.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.17595169177172257	-0.20618325991491138	bound	698	nav	10_10	1	weight	FOC	698	all	4_4	272	geestig	0.24935096586161196
geestig.foc10.nav.weight.bound.min1.soc10.all.5000	-0.12370527627993273	-0.2620599219457508	bound	698	nav	10_10	1	weight	5000	5000	all	10_10	272	geestig	0.24057485131041978
geestig.foc10.nav.weight.bound.min1.soc10.all.10000	-0.12756974207286362	-0.22647665309241485	bound	698	nav	10_10	1	weight	10000	10000	all	10_10	272	geestig	0.24555456131963888
geestig.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.16680221757288322	-0.21590273095992016	bound	698	nav	10_10	1	weight	FOC	698	all	10_10	272	geestig	0.2429773930758041
geestig.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.07347407185014389	-0.23244612655303146	bound	698	nav	10_10	1	selection	5000	5000	nav	4_4	272	geestig	0.24024250217193285
geestig.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.07308636997688997	-0.20196235980796712	bound	698	nav	10_10	1	selection	10000	10000	nav	4_4	272	geestig	0.23825003385460752
geestig.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.10286676163258711	-0.18344658729812852	bound	698	nav	10_10	1	selection	FOC	698	nav	4_4	272	geestig	0.22920039682060042
geestig.foc10.nav.selection.bound.min1.soc10.nav.5000	-0.07398074221754448	-0.2522193304615224	bound	698	nav	10_10	1	selection	5000	5000	nav	10_10	272	geestig	0.23746247309343418
geestig.foc10.nav.selection.bound.min1.soc10.nav.10000	-0.0695498947652736	-0.20952046278624678	bound	698	nav	10_10	1	selection	10000	10000	nav	10_10	272	geestig	0.23925888777865587
geestig.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.10425855376174387	-0.1909784558223746	bound	698	nav	10_10	1	selection	FOC	698	nav	10_10	272	geestig	0.22782907168073618
geestig.foc10.nav.selection.bound.min1.soc4.all.5000	-0.05994774120824564	-0.26214141729308627	bound	698	nav	10_10	1	selection	5000	5000	all	4_4	272	geestig	0.2417993079683365
geestig.foc10.nav.selection.bound.min1.soc4.all.10000	-0.07183651728361017	-0.20630343018004613	bound	698	nav	10_10	1	selection	10000	10000	all	4_4	272	geestig	0.2391656961636544
geestig.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.10286676167369861	-0.1834465873006025	bound	698	nav	10_10	1	selection	FOC	698	all	4_4	272	geestig	0.22920039682060042
geestig.foc10.nav.selection.bound.min1.soc10.all.5000	-0.06877432420583623	-0.27113098730137286	bound	698	nav	10_10	1	selection	5000	5000	all	10_10	272	geestig	0.23585701296917605
geestig.foc10.nav.selection.bound.min1.soc10.all.10000	-0.07179261490572818	-0.22018496580011143	bound	698	nav	10_10	1	selection	10000	10000	all	10_10	272	geestig	0.23750741193585714
geestig.foc10.nav.selection.bound.min1.soc10.all.FOC	-0.10425855374588704	-0.1909784558006883	bound	698	nav	10_10	1	selection	FOC	698	all	10_10	272	geestig	0.22782907168073618
geestig.foc10.nav.no.bound.min1.soc4.nav.5000	0.021299428148578662	-0.2480405898191509	bound	901	nav	10_10	1	no	5000	5000	nav	4_4	274	geestig	0.2446140579782823
