_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
hachelijk.foc10.nav.no.bound.min1.soc10.nav.5000	0.06027760485540149	0.22447605752141847	bound	nav	10_10	no	555	1	5000	5000	nav	10_10	238	hachelijk	0.24904291045117946
hachelijk.foc10.nav.no.bound.min1.soc10.nav.10000	0.04340305370815238	0.2202561489523517	bound	nav	10_10	no	555	1	10000	10000	nav	10_10	238	hachelijk	0.24953420217511918
hachelijk.foc10.nav.no.bound.min1.soc10.nav.FOC	0.07070998223434277	0.17901847194607676	bound	nav	10_10	no	555	1	FOC	555	nav	10_10	238	hachelijk	0.24066910840757078
hachelijk.foc10.nav.no.bound.min1.soc4.all.5000	0.06825829314174714	0.23932282315334738	bound	nav	10_10	no	555	1	5000	5000	all	4_4	238	hachelijk	0.2636058157939494
hachelijk.foc10.nav.no.bound.min1.soc4.all.10000	0.04623446073594435	0.23012211551163358	bound	nav	10_10	no	555	1	10000	10000	all	4_4	238	hachelijk	0.26023801027483656
hachelijk.foc10.nav.no.bound.min1.soc4.all.FOC	0.054157925481413974	0.16748013349722055	bound	nav	10_10	no	555	1	FOC	555	all	4_4	238	hachelijk	0.2544556650738305
hachelijk.foc10.nav.no.bound.min1.soc10.all.5000	0.07808863605799464	0.22634768172795414	bound	nav	10_10	no	555	1	5000	5000	all	10_10	238	hachelijk	0.24823625053857235
hachelijk.foc10.nav.no.bound.min1.soc10.all.10000	0.05769056121637021	0.2233269588273234	bound	nav	10_10	no	555	1	10000	10000	all	10_10	238	hachelijk	0.24674114315640583
hachelijk.foc10.nav.no.bound.min1.soc10.all.FOC	0.07070999176691761	0.17901846610765	bound	nav	10_10	no	555	1	FOC	555	all	10_10	238	hachelijk	0.24066910840757078
hachelijk.foc10.all.weight.bound.min1.soc4.nav.5000	-0.18906832361551562	-0.07106685143209227	bound	all	10_10	weight	658	1	5000	5000	nav	4_4	239	hachelijk	0.24357948162790374
hachelijk.foc10.all.weight.bound.min1.soc4.nav.10000	-0.19465236739700714	-0.08085117754270578	bound	all	10_10	weight	658	1	10000	10000	nav	4_4	239	hachelijk	0.23892026914304798
