_id	_cws.hachelijk.foc10.nav.weight.bound	_count.hachelijk.foc10.nav.weight.bound	_cws.hachelijk.foc10.nav.selection.bound	_count.hachelijk.foc10.nav.selection.bound	_cws.hachelijk.foc10.nav.no.bound	_count.hachelijk.foc10.nav.no.bound	_cws.hachelijk.foc10.all.weight.bound	_count.hachelijk.foc10.all.weight.bound	_cws.hachelijk.foc10.all.selection.bound	_count.hachelijk.foc10.all.selection.bound	_cws.hachelijk.foc10.all.no.bound	_count.hachelijk.foc10.all.no.bound	_cws.hachelijk.foc5.nav.weight.bound	_count.hachelijk.foc5.nav.weight.bound	_cws.hachelijk.foc5.nav.selection.bound	_count.hachelijk.foc5.nav.selection.bound	_cws.hachelijk.foc5.nav.no.bound	_count.hachelijk.foc5.nav.no.bound	_cws.hachelijk.foc5.all.weight.bound	_count.hachelijk.foc5.all.weight.bound	_cws.hachelijk.foc5.all.selection.bound	_count.hachelijk.foc5.all.selection.bound	_cws.hachelijk.foc5.all.no.bound	_count.hachelijk.foc5.all.no.bound
hachelijk/adj/nrc_handelsblad_20020409_133/490	ben/verb;eeuw/noun;enquête/noun;lengte/noun;onderneming/noun	5	ben/verb;eeuw/noun;enquête/noun;lengte/noun;onderneming/noun	5	ben/verb;eeuw/noun;enquête/noun;lengte/noun;onderneming/noun	5	's/det;ben/verb;de/det;een/det;eeuw/noun;enquête/noun;lengte/noun;onderneming/noun;wegens/prep;zo'n/det	10	's/det;ben/verb;de/det;een/det;eeuw/noun;enquête/noun;lengte/noun;onderneming/noun;wegens/prep;zo'n/det	10	's/det;ben/verb;de/det;een/det;eeuw/noun;enquête/noun;lengte/noun;onderneming/noun;wegens/prep;zo'n/det	10	ben/verb;enquête/noun;lengte/noun;onderneming/noun	4	ben/verb;enquête/noun;lengte/noun;onderneming/noun	4	ben/verb;enquête/noun;lengte/noun;onderneming/noun	4	ben/verb;de/det;enquête/noun;lengte/noun;onderneming/noun;wegens/prep;zo'n/det	7	ben/verb;de/det;enquête/noun;lengte/noun;onderneming/noun;wegens/prep;zo'n/det	7	ben/verb;de/det;enquête/noun;lengte/noun;onderneming/noun;wegens/prep;zo'n/det	7
hachelijk/adj/nrc_handelsblad_20000129_21/582	beurs_koers/noun;beïnvloed/verb;onderneming/noun;probeer/verb;rente/noun	5	beurs_koers/noun;beïnvloed/verb;onderneming/noun;probeer/verb;rente/noun	5	beurs_koers/noun;beïnvloed/verb;onderneming/noun;probeer/verb;rente/noun	5	beurs_koers/noun;beïnvloed/verb;de/det;een/det;onderneming/noun;probeer/verb;rente/noun	7	beurs_koers/noun;beïnvloed/verb;de/det;een/det;onderneming/noun;probeer/verb;rente/noun	7	beurs_koers/noun;beïnvloed/verb;de/det;een/det;onderneming/noun;probeer/verb;rente/noun	7	beurs_koers/noun;onderneming/noun;rente/noun	3	beurs_koers/noun;onderneming/noun;rente/noun	3	beurs_koers/noun;onderneming/noun;rente/noun	3	beurs_koers/noun;de/det;een/det;onderneming/noun;rente/noun	5	beurs_koers/noun;de/det;een/det;onderneming/noun;rente/noun	5	beurs_koers/noun;de/det;een/det;onderneming/noun;rente/noun	5
hachelijk/adj/nrc_handelsblad_20011208_138/2507	ben/verb;kwestie/noun;onroerend/adj;vreemde/noun	4	ben/verb;kwestie/noun;onroerend/adj;vreemde/noun	4	ben/verb;kwestie/noun;onroerend/adj;vreemde/noun	4	ben/verb;den/det;een/det;het/det;in/prep;kwestie/noun;onroerend/adj;vooral/adv;vreemde/noun	9	ben/verb;den/det;een/det;het/det;in/prep;kwestie/noun;onroerend/adj;vooral/adv;vreemde/noun	9	ben/verb;den/det;een/det;het/det;in/prep;kwestie/noun;onroerend/adj;vooral/adv;vreemde/noun	9	ben/verb;kwestie/noun;vreemde/noun	3	ben/verb;kwestie/noun;vreemde/noun	3	ben/verb;kwestie/noun;vreemde/noun	3	ben/verb;den/det;een/det;in/prep;kwestie/noun;vreemde/noun	6	ben/verb;den/det;een/det;in/prep;kwestie/noun;vreemde/noun	6	ben/verb;den/det;een/det;in/prep;kwestie/noun;vreemde/noun	6
hachelijk/adj/nrc_handelsblad_20021014_66/1020	ben/verb;bestaan/noun;leid/verb	3	ben/verb;bestaan/noun;leid/verb	3	ben/verb;bestaan/noun;leid/verb	3	ben/verb;bestaan/noun;buiten/adv;een/det;leid/verb;naar/prep	6	ben/verb;bestaan/noun;buiten/adv;een/det;leid/verb;naar/prep	6	ben/verb;bestaan/noun;buiten/adv;een/det;leid/verb;naar/prep	6	ben/verb;bestaan/noun;leid/verb	3	ben/verb;bestaan/noun;leid/verb	3	ben/verb;bestaan/noun;leid/verb	3	ben/verb;bestaan/noun;een/det;leid/verb	4	ben/verb;bestaan/noun;een/det;leid/verb	4	ben/verb;bestaan/noun;een/det;leid/verb	4
hachelijk/adj/nrc_handelsblad_20000912_68/450	lijk/verb;zaak/noun	2	lijk/verb;zaak/noun	2	lijk/verb;zaak/noun	2	al/adv;de/det;een/det;lijk/verb;zaak/noun	5	al/adv;de/det;een/det;lijk/verb;zaak/noun	5	al/adv;de/det;een/det;lijk/verb;zaak/noun	5	lijk/verb;zaak/noun	2	lijk/verb;zaak/noun	2	lijk/verb;zaak/noun	2	al/adv;een/det;lijk/verb;zaak/noun	4	al/adv;een/det;lijk/verb;zaak/noun	4	al/adv;een/det;lijk/verb;zaak/noun	4
hachelijk/adj/nrc_handelsblad_19990112_29/1323	ben/verb;eiland/noun;kliffen/noun;zaak/noun	4	ben/verb;eiland/noun;kliffen/noun;zaak/noun	4	ben/verb;eiland/noun;kliffen/noun;zaak/noun	4	ben/verb;de/det;een/det;eiland/noun;kliffen/noun;tal/det;van/det;zaak/noun	8	ben/verb;de/det;een/det;eiland/noun;kliffen/noun;tal/det;van/det;zaak/noun	8	ben/verb;de/det;een/det;eiland/noun;kliffen/noun;tal/det;van/det;zaak/noun	8	ben/verb;kliffen/noun;zaak/noun	3	ben/verb;kliffen/noun;zaak/noun	3	ben/verb;kliffen/noun;zaak/noun	3	ben/verb;een/det;kliffen/noun;van/det;zaak/noun	5	ben/verb;een/det;kliffen/noun;van/det;zaak/noun	5	ben/verb;een/det;kliffen/noun;van/det;zaak/noun	5
hachelijk/adj/nrc_handelsblad_20020605_122/335	Portugees/noun;langdurig/adj;offensief/noun;tafereel/noun;zorg/verb	5	Portugees/noun;langdurig/adj;offensief/noun;tafereel/noun;zorg/verb	5	Portugees/noun;langdurig/adj;offensief/noun;tafereel/noun;zorg/verb	5	Portugees/noun;de/det;het/det;langdurig/adj;offensief/noun;tafereel/noun;voor/prep;zorg/verb	8	Portugees/noun;de/det;het/det;langdurig/adj;offensief/noun;tafereel/noun;voor/prep;zorg/verb	8	Portugees/noun;de/det;het/det;langdurig/adj;offensief/noun;tafereel/noun;voor/prep;zorg/verb	8	Portugees/noun;tafereel/noun;zorg/verb	3	Portugees/noun;tafereel/noun;zorg/verb	3	Portugees/noun;tafereel/noun;zorg/verb	3	Portugees/noun;de/det;tafereel/noun;voor/prep;zorg/verb	5	Portugees/noun;de/det;tafereel/noun;voor/prep;zorg/verb	5	Portugees/noun;de/det;tafereel/noun;voor/prep;zorg/verb	5
hachelijk/adj/nrc_handelsblad_20010111_91/1684	maak/verb;onderneming/noun;tocht/noun;val_in/verb;vermoeidheid/noun	5	maak/verb;onderneming/noun;tocht/noun;val_in/verb;vermoeidheid/noun	5	maak/verb;onderneming/noun;tocht/noun;val_in/verb;vermoeidheid/noun	5	de/det;een/det;maak/verb;onderneming/noun;tocht/noun;tot/prep;val_in/verb;vermoeidheid/noun	8	de/det;een/det;maak/verb;onderneming/noun;tocht/noun;tot/prep;val_in/verb;vermoeidheid/noun	8	de/det;een/det;maak/verb;onderneming/noun;tocht/noun;tot/prep;val_in/verb;vermoeidheid/noun	8	maak/verb;onderneming/noun;tocht/noun	3	maak/verb;onderneming/noun;tocht/noun	3	maak/verb;onderneming/noun;tocht/noun	3	de/det;een/det;maak/verb;onderneming/noun;tocht/noun;tot/prep	6	de/det;een/det;maak/verb;onderneming/noun;tocht/noun;tot/prep	6	de/det;een/det;maak/verb;onderneming/noun;tocht/noun;tot/prep	6
hachelijk/adj/nrc_handelsblad_20020705_153/1148	besluit/noun;streven/noun;word/verb	3	besluit/noun;streven/noun;word/verb	3	besluit/noun;streven/noun;word/verb	3	besluit/noun;door/prep;hen/pron;ieder/det;streven/noun;word/verb	6	besluit/noun;door/prep;hen/pron;ieder/det;streven/noun;word/verb	6	besluit/noun;door/prep;hen/pron;ieder/det;streven/noun;word/verb	6	besluit/noun	1	besluit/noun	1	besluit/noun	1	besluit/noun;ieder/det	2	besluit/noun;ieder/det	2	besluit/noun;ieder/det	2
hachelijk/adj/nrc_handelsblad_20010724_64/177	ben/verb;conclusie/noun;dichter/noun;gewraakt/adj;kom/verb;tekst/noun;toekomst/noun	7	ben/verb;conclusie/noun;dichter/noun;gewraakt/adj;kom/verb;tekst/noun;toekomst/noun	7	ben/verb;conclusie/noun;dichter/noun;gewraakt/adj;kom/verb;tekst/noun;toekomst/noun	7	ben/verb;conclusie/noun;de/det;dichter/noun;gewraakt/adj;in/prep;kom/verb;tekst/noun;toekomst/noun	9	ben/verb;conclusie/noun;de/det;dichter/noun;gewraakt/adj;in/prep;kom/verb;tekst/noun;toekomst/noun	9	ben/verb;conclusie/noun;de/det;dichter/noun;gewraakt/adj;in/prep;kom/verb;tekst/noun;toekomst/noun	9	ben/verb;gewraakt/adj	2	ben/verb;gewraakt/adj	2	ben/verb;gewraakt/adj	2	ben/verb;gewraakt/adj	2	ben/verb;gewraakt/adj	2	ben/verb;gewraakt/adj	2
