_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_FOC-POS	foc_BOUNDARIES	foc_PPMI	foc_FOC-WIN	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
blik.foc5.all.ppmi_sel.bound.min1.soc10.nav.foc	0.20530650627025696	-0.18685460717857313	490	1	all	bound	ppmi_sel	5_5	foc	490	nav	10_10	278	blik	0.2516134908421175
blik.foc5.all.ppmi_sel.bound.min1.soc4.all.5000	0.3974192186257227	-0.21008306257047873	490	1	all	bound	ppmi_sel	5_5	5000	5000	all	4_4	278	blik	0.2500968608986071
blik.foc5.all.ppmi_sel.bound.min1.soc4.all.10000	0.44812581984322747	-0.12147191325607448	490	1	all	bound	ppmi_sel	5_5	10000	10000	all	4_4	278	blik	0.24566103368182893
blik.foc5.all.ppmi_sel.bound.min1.soc4.all.foc	0.4009209669663374	-0.27542902559672333	490	1	all	bound	ppmi_sel	5_5	foc	490	all	4_4	278	blik	0.24595482782079683
blik.foc5.all.ppmi_sel.bound.min1.soc10.all.5000	0.21557248411789376	-0.03176024314707994	490	1	all	bound	ppmi_sel	5_5	5000	5000	all	10_10	278	blik	0.2526858512557018
blik.foc5.all.ppmi_sel.bound.min1.soc10.all.10000	0.2807897056794448	-0.035026363515478415	490	1	all	bound	ppmi_sel	5_5	10000	10000	all	10_10	278	blik	0.25328142266946096
blik.foc5.all.ppmi_sel.bound.min1.soc10.all.foc	0.2053065060720352	-0.18685460709504031	490	1	all	bound	ppmi_sel	5_5	foc	490	all	10_10	278	blik	0.2516134908421175
blik.foc5.all.no_ppmi.bound.min1.soc4.nav.5000	0.5316833542993549	0.02533667663997163	687	1	all	bound	no_ppmi	5_5	5000	5000	nav	4_4	280	blik	0.24678881961963173
blik.foc5.all.no_ppmi.bound.min1.soc4.nav.10000	0.5133951196862323	0.21956265619967108	687	1	all	bound	no_ppmi	5_5	10000	10000	nav	4_4	280	blik	0.23662471348448785
blik.foc5.all.no_ppmi.bound.min1.soc4.nav.foc	0.5042058864675832	0.08732925253056403	687	1	all	bound	no_ppmi	5_5	foc	687	nav	4_4	280	blik	0.250010567889469
blik.foc5.all.no_ppmi.bound.min1.soc10.nav.5000	0.25506787343740234	0.10183642875341042	687	1	all	bound	no_ppmi	5_5	5000	5000	nav	10_10	280	blik	0.24629386063755662
blik.foc5.all.no_ppmi.bound.min1.soc10.nav.10000	0.2961217039387733	0.08063336791723166	687	1	all	bound	no_ppmi	5_5	10000	10000	nav	10_10	280	blik	0.2430960707735964
blik.foc5.all.no_ppmi.bound.min1.soc10.nav.foc	0.22760151484190846	0.011980715525042184	687	1	all	bound	no_ppmi	5_5	foc	687	nav	10_10	280	blik	0.24739352533511974
blik.foc5.all.no_ppmi.bound.min1.soc4.all.5000	0.488536241517067	0.13527295851291035	687	1	all	bound	no_ppmi	5_5	5000	5000	all	4_4	280	blik	0.2501048711892719
blik.foc5.all.no_ppmi.bound.min1.soc4.all.10000	0.5222265270622791	0.18438486283421554	687	1	all	bound	no_ppmi	5_5	10000	10000	all	4_4	280	blik	0.24455875574108316
blik.foc5.all.no_ppmi.bound.min1.soc4.all.foc	0.5042055150985885	0.08732915000314972	687	1	all	bound	no_ppmi	5_5	foc	687	all	4_4	280	blik	0.250010567889469
blik.foc5.all.no_ppmi.bound.min1.soc10.all.5000	0.216954389647639	0.11460580595319944	687	1	all	bound	no_ppmi	5_5	5000	5000	all	10_10	280	blik	0.24506558798376593
blik.foc5.all.no_ppmi.bound.min1.soc10.all.10000	0.2850473756482075	0.10694459255833338	687	1	all	bound	no_ppmi	5_5	10000	10000	all	10_10	280	blik	0.24690726362885923
blik.foc5.all.no_ppmi.bound.min1.soc10.all.foc	0.21632549103756757	0.03606597981636427	687	1	all	bound	no_ppmi	5_5	foc	687	all	10_10	280	blik	0.24740797888960978
