_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_FOC-POS	foc_BOUNDARIES	foc_PPMI	foc_FOC-WIN	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	0.09130502745911653	-0.2572814449165007	745	1	all	bound	ppmi_weight	10_10	foc	745	nav	10_10	280	blik	0.2628960215118979
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	0.015909061718964956	-0.059630710124657337	745	1	all	bound	ppmi_weight	10_10	5000	5000	all	4_4	280	blik	0.2621616855861134
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	0.02421251850166501	-0.030114585596287477	745	1	all	bound	ppmi_weight	10_10	10000	10000	all	4_4	280	blik	0.26104576536973567
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	0.1877273069837665	-0.45068634193317103	745	1	all	bound	ppmi_weight	10_10	foc	745	all	4_4	280	blik	0.2692681105376471
blik.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	0.0072944356350446386	-0.04571131522444247	745	1	all	bound	ppmi_weight	10_10	5000	5000	all	10_10	280	blik	0.2556329777330032
blik.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.010348871570029857	0.06862255156102948	745	1	all	bound	ppmi_weight	10_10	10000	10000	all	10_10	280	blik	0.2591124155055122
blik.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	0.09130502745915112	-0.2572814449165399	745	1	all	bound	ppmi_weight	10_10	foc	745	all	10_10	280	blik	0.2628960215118979
blik.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.3747298137498049	-0.025498303043396075	745	1	all	bound	ppmi_sel	10_10	5000	5000	nav	4_4	280	blik	0.24563182627877017
blik.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.4646982587529366	-0.07712408457157735	745	1	all	bound	ppmi_sel	10_10	10000	10000	nav	4_4	280	blik	0.23464195607131563
blik.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.37658136535317827	-0.19806235450312926	745	1	all	bound	ppmi_sel	10_10	foc	745	nav	4_4	280	blik	0.23678277672117418
blik.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.15654108819788373	0.040727392385839785	745	1	all	bound	ppmi_sel	10_10	5000	5000	nav	10_10	280	blik	0.24426858399670784
blik.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.1965397336003605	0.035404355675102216	745	1	all	bound	ppmi_sel	10_10	10000	10000	nav	10_10	280	blik	0.24138130442267908
blik.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.2635911091403604	-0.14285881401009395	745	1	all	bound	ppmi_sel	10_10	foc	745	nav	10_10	280	blik	0.2378219067885359
blik.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.3306081112338021	-0.1748234887261201	745	1	all	bound	ppmi_sel	10_10	5000	5000	all	4_4	280	blik	0.24788015114928386
blik.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.4479756142328275	0.03567021500905036	745	1	all	bound	ppmi_sel	10_10	10000	10000	all	4_4	280	blik	0.24167414640829096
