pmi	raw_freq	raw_co	cw
-0.48982126	13528	7	buitenlander/noun
2.4742587	4857	49	buitenstaander/noun
-0.60923797	49948	23	burger/noun
1.6240892	697	3	bühne/noun
-0.78616285	39128	15	cd/noun
0.7369587	1137	2	chef_kok/noun
0.28932655	5366	6	circus/noun
0.656114	1227	2	cockpit/noun
0.67952925	20292	34	collectie/noun
0.4804159	67006	92	collega/noun
-0.7764599	33399	13	commercieel/adj
0.4114368	1564	2	commissie_voorzitter/noun
-0.24237926	28595	19	compleet/adj
0.35608584	6578	8	compositie/noun
-0.18618475	35685	25	computer/noun
1.0392053	1260	3	conciërge/noun
-0.31893894	4869	3	consumptie/noun
-0.122714885	32129	24	controleer/verb
3.17367	1582	32	coulisse/noun
0.9886057	873	2	cultiveer/verb
1.4103594	2296	8	daal_af/verb
0.14742225	274838	271	daar/adv
0.27553388	42815	48	daarna/adv
1.3867855	294	1	dadel/noun
-0.52025	388220	195	dag/noun
0.29139015	22984	26	dak/noun
0.12137189	853168	820	dan/adv
2.1591184	544	4	dan_pas_DIM/noun
0.0010664703	14249	12	dans/noun
1.3402802	2469	8	danseres/noun
-0.17889869	1849436	1315	dat/det
0.0035966688	552171	472	dat/pron
0.08501908	28074105	25864	de/det
-0.31623867	150293	93	deel/noun
-0.49436396	36958	19	deelnemer/noun
-0.6206582	39842	18	definitief/adj
-0.46194288	5628	3	dek/verb
-1.0040966	9718	3	delegatie/noun
0.005178395	294025	251	denk/verb
0.9819961	4880	11	design/noun
0.50776356	64045	90	deur/noun
-0.026657097	719674	594	deze/det
0.39967614	97788	124	dezelfde/det
-0.2547118	4559	3	diagnose/noun
0.334104	11888	14	dichtbij/adj
0.67782974	16846	28	dichter/noun
0.41732416	1365392	1765	die/det
0.22634128	2519801	2691	die/pron
0.77798873	49858	92	diep/adj
1.2291137	5158	15	diepte/noun
2.0043316	636	4	diepzinnig/adj
0.37792876	80601	100	ding/noun
0.33784714	48699	58	direct/adj
-0.3586897	795783	471	dit/det
-0.09961435	731956	561	doe/verb
-0.6973586	59610	25	dood/noun
0.73245	21271	37	dood/verb
-0.19775656	1456	1	doodziek/adj
0.015408599	1310789	1129	door/prep
4.3579135	662	44	doordringend/adj
-0.16120008	1381	1	doorsnede/noun
1.6844503	10305	47	doos/noun
-0.50064516	19580	10	drama/noun
1.7429892	7687	37	dreigend/adj
0.74692106	5064	9	dring/verb
2.866823	1010	15	droef/adj
2.3468444	2273	20	droevig/adj
3.8624077	1484	60	dromerig/adj
0.34311512	2520	3	druk_in/verb
0.195051	152880	158	duidelijk/adj
