_id	_cws.heet.foc10.nav.weight.bound	_count.heet.foc10.nav.weight.bound	_cws.heet.foc10.nav.selection.bound	_count.heet.foc10.nav.selection.bound	_cws.heet.foc10.nav.no.bound	_count.heet.foc10.nav.no.bound	_cws.heet.foc10.all.weight.bound	_count.heet.foc10.all.weight.bound	_cws.heet.foc10.all.selection.bound	_count.heet.foc10.all.selection.bound	_cws.heet.foc10.all.no.bound	_count.heet.foc10.all.no.bound	_cws.heet.foc5.nav.weight.bound	_count.heet.foc5.nav.weight.bound	_cws.heet.foc5.nav.selection.bound	_count.heet.foc5.nav.selection.bound	_cws.heet.foc5.nav.no.bound	_count.heet.foc5.nav.no.bound	_cws.heet.foc5.all.weight.bound	_count.heet.foc5.all.weight.bound	_cws.heet.foc5.all.selection.bound	_count.heet.foc5.all.selection.bound	_cws.heet.foc5.all.no.bound	_count.heet.foc5.all.no.bound
heet/adj/de_morgen_20021118_01_130/581	aandeelhouder/noun;adem/noun;nek/noun;voel/verb	4	aandeelhouder/noun;adem/noun;nek/noun;voel/verb	4	aandeelhouder/noun;adem/noun;bepaald/adj;maand/noun;nek/noun;voel/verb;vrees/noun	7	aandeelhouder/noun;adem/noun;de/det;elke/det;in/prep;nek/noun;voel/verb	7	aandeelhouder/noun;adem/noun;de/det;elke/det;in/prep;nek/noun;voel/verb	7	aandeelhouder/noun;adem/noun;bepaald/adj;de/det;die/pron;elke/det;hun/det;in/prep;maand/noun;nek/noun;van/prep;voel/verb;vrees/noun;zich/pron	14	aandeelhouder/noun;adem/noun	2	aandeelhouder/noun;adem/noun	2	aandeelhouder/noun;adem/noun;maand/noun	3	aandeelhouder/noun;adem/noun;de/det;elke/det;in/prep	5	aandeelhouder/noun;adem/noun;de/det;elke/det;in/prep	5	aandeelhouder/noun;adem/noun;de/det;die/pron;elke/det;in/prep;maand/noun;van/prep	8
heet/adj/de_morgen_20030411_01_22/248	eet/verb;koud/adj;olie/noun;word/verb;zout/noun	5	eet/verb;koud/adj;olie/noun;word/verb;zout/noun	5	eet/verb;koud/adj;olie/noun;word/verb;zout/noun	5	eet/verb;koud/adj;niet/adv;olie/noun;word/verb;zo/adv;zout/noun	7	eet/verb;koud/adj;niet/adv;olie/noun;word/verb;zo/adv;zout/noun	7	dit/det;eet/verb;koud/adj;niet/adv;olie/noun;word/verb;zo/adv;zonder/prep;zout/noun	9	eet/verb;koud/adj;word/verb	3	eet/verb;koud/adj;word/verb	3	eet/verb;koud/adj;word/verb	3	eet/verb;koud/adj;niet/adv;word/verb;zo/adv	5	eet/verb;koud/adj;niet/adv;word/verb;zo/adv	5	dit/det;eet/verb;koud/adj;niet/adv;word/verb;zo/adv	6
heet/adj/de_morgen_20040218_01_124/21	ben/verb;gezin_drama/noun;kabouter/noun;verdronken/adj;zing/adj	5	ben/verb;gezin_drama/noun;kabouter/noun;verdronken/adj;zing/adj	5	ben/verb;gezin_drama/noun;kabouter/noun;verdronken/adj;vrolijk/adj;zing/adj	6	ben/verb;een/det;gezin_drama/noun;kabouter/noun;met/prep;verdronken/adj;zing/adj	7	ben/verb;een/det;gezin_drama/noun;kabouter/noun;met/prep;verdronken/adj;zing/adj	7	ben/verb;een/det;gezin_drama/noun;kabouter/noun;met/prep;verdronken/adj;vrolijk/adj;zing/adj	8	ben/verb;gezin_drama/noun;verdronken/adj	3	ben/verb;gezin_drama/noun;verdronken/adj	3	ben/verb;gezin_drama/noun;verdronken/adj;vrolijk/adj	4	ben/verb;een/det;gezin_drama/noun;met/prep;verdronken/adj	5	ben/verb;een/det;gezin_drama/noun;met/prep;verdronken/adj	5	ben/verb;een/det;gezin_drama/noun;met/prep;verdronken/adj;vrolijk/adj	6
heet/adj/de_morgen_20020410_01_17/2123	ben/verb;rabbi/noun;water/noun	3	ben/verb;rabbi/noun;water/noun	3	ben/verb;besluit/verb;het/noun;moet/verb;rabbi/noun;water/noun	6	ben/verb;dan/adv;dus/adv;een/det;rabbi/noun;water/noun;wel/adv	7	ben/verb;dan/adv;dus/adv;een/det;rabbi/noun;water/noun;wel/adv	7	ben/verb;besluit/verb;dan/adv;dus/adv;een/det;het/noun;moet/verb;rabbi/noun;water/noun;wel/adv	10	ben/verb;rabbi/noun;water/noun	3	ben/verb;rabbi/noun;water/noun	3	ben/verb;het/noun;moet/verb;rabbi/noun;water/noun	5	ben/verb;dan/adv;rabbi/noun;water/noun;wel/adv	5	ben/verb;dan/adv;rabbi/noun;water/noun;wel/adv	5	ben/verb;dan/adv;het/noun;moet/verb;rabbi/noun;water/noun;wel/adv	7
heet/adj/de_morgen_20030611_01_120/104	album/noun	1	album/noun	1	album/noun;exemplaar/noun;geef_weg/verb	3	album/noun	1	album/noun	1	album/noun;dit/det;exemplaar/noun;geef_weg/verb;van/prep;we/pron;weg/part	7	album/noun	1	album/noun	1	album/noun;exemplaar/noun	2	album/noun	1	album/noun	1	album/noun;dit/det;exemplaar/noun;van/prep;weg/part	5
heet/adj/de_morgen_20010216_01_147/234	Mexicaans/adj;ben/verb;clandestien/adj;hang_ijzer/noun;migratie/noun	5	Mexicaans/adj;ben/verb;clandestien/adj;hang_ijzer/noun;migratie/noun	5	Mexicaans/adj;ben/verb;clandestien/adj;hang_ijzer/noun;meer/adj;migratie/noun	6	Mexicaans/adj;ben/verb;clandestien/adj;de/det;hang_ijzer/noun;het/det;migratie/noun	7	Mexicaans/adj;ben/verb;clandestien/adj;de/det;hang_ijzer/noun;het/det;migratie/noun	7	Mexicaans/adj;ben/verb;clandestien/adj;dat/det;de/det;hang_ijzer/noun;het/det;meer/adj;migratie/noun;van/prep;zonder/prep	11	ben/verb;hang_ijzer/noun	2	ben/verb;hang_ijzer/noun	2	ben/verb;hang_ijzer/noun;meer/adj	3	ben/verb;de/det;hang_ijzer/noun;het/det	4	ben/verb;de/det;hang_ijzer/noun;het/det	4	ben/verb;dat/det;de/det;hang_ijzer/noun;het/det;meer/adj;van/prep;zonder/prep	8
heet/adj/de_morgen_20040310_01_35/320	ben/verb;genoeg/adj;hartinfarct/noun	3	ben/verb;genoeg/adj;hartinfarct/noun	3	ben/verb;genoeg/adj;hartinfarct/noun;ironisch/adj;neem_op/verb;ziekenhuis/noun	6	ben/verb;een/det;genoeg/adj;hartinfarct/noun;het/det;in/prep	6	ben/verb;een/det;genoeg/adj;hartinfarct/noun;het/det;in/prep	6	ben/verb;een/det;genoeg/adj;hartinfarct/noun;het/det;in/prep;ironisch/adj;neem_op/verb;voor/prep;ziekenhuis/noun	10	ben/verb;genoeg/adj;hartinfarct/noun	3	ben/verb;genoeg/adj;hartinfarct/noun	3	ben/verb;genoeg/adj;hartinfarct/noun;ironisch/adj	4	ben/verb;een/det;genoeg/adj;hartinfarct/noun	4	ben/verb;een/det;genoeg/adj;hartinfarct/noun	4	ben/verb;een/det;genoeg/adj;hartinfarct/noun;ironisch/adj;voor/prep	6
heet/adj/de_morgen_19990612_01_36/863	kook/adj;lang/adj;minuut/noun;spinazie/noun;water/noun	5	kook/adj;lang/adj;minuut/noun;spinazie/noun;water/noun	5	iets/noun;kook/adj;lang/adj;minuut/noun;spinazie/noun;water/noun	6	de/det;gedurende/prep;in/prep;kook/adj;lang/adj;minuut/noun;niet/adv;spinazie/noun;water/noun	9	de/det;gedurende/prep;in/prep;kook/adj;lang/adj;minuut/noun;niet/adv;spinazie/noun;water/noun	9	de/det;gedurende/prep;iets/noun;in/prep;kook/adj;lang/adj;minuut/noun;niet/adv;spinazie/noun;water/noun	10	kook/adj;lang/adj;minuut/noun;water/noun	4	kook/adj;lang/adj;minuut/noun;water/noun	4	iets/noun;kook/adj;lang/adj;minuut/noun;water/noun	5	in/prep;kook/adj;lang/adj;minuut/noun;niet/adv;water/noun	6	in/prep;kook/adj;lang/adj;minuut/noun;niet/adv;water/noun	6	iets/noun;in/prep;kook/adj;lang/adj;minuut/noun;niet/adv;water/noun	7
heet/adj/de_morgen_20001206_01_27/439	schuif_door/verb	1	schuif_door/verb	1	schuif_door/verb	1	de/det;door/part;het/det;schuif_door/verb	4	de/det;door/part;het/det;schuif_door/verb	4	dat/pron;de/det;door/part;het/det;naar/prep;schuif_door/verb	6	schuif_door/verb	1	schuif_door/verb	1	schuif_door/verb	1	door/part;schuif_door/verb	2	door/part;schuif_door/verb	2	door/part;naar/prep;schuif_door/verb	3
heet/adj/de_morgen_20010505_01_37/458	haal/verb;kastanje/noun;vuur/noun;werkgever/noun	4	haal/verb;kastanje/noun;vuur/noun;werkgever/noun	4	haal/verb;kastanje/noun;vuur/noun;werkgever/noun;wil/verb	5	de/det;haal/verb;het/det;kastanje/noun;niet/adv;uit/prep;vuur/noun;werkgever/noun	8	de/det;haal/verb;het/det;kastanje/noun;niet/adv;uit/prep;vuur/noun;werkgever/noun	8	de/det;haal/verb;het/det;hij/pron;kastanje/noun;niet/adv;uit/prep;voor/prep;vuur/noun;werkgever/noun;wil/verb	11	haal/verb;kastanje/noun;vuur/noun	3	haal/verb;kastanje/noun;vuur/noun	3	haal/verb;kastanje/noun;vuur/noun;wil/verb	4	haal/verb;het/det;kastanje/noun;niet/adv;uit/prep;vuur/noun	6	haal/verb;het/det;kastanje/noun;niet/adv;uit/prep;vuur/noun	6	haal/verb;het/det;hij/pron;kastanje/noun;niet/adv;uit/prep;vuur/noun;wil/verb	8
