_model	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
heet.foc10.all.weight.bound.min1.soc4.nav.10000	bound	698	all	10_10	1	weight	10000	10000	nav	4_4	359	heet	0.20956452816756246
heet.foc10.all.weight.bound.min1.soc4.nav.FOC	bound	698	all	10_10	1	weight	FOC	698	nav	4_4	359	heet	0.2215582346691037
heet.foc10.all.weight.bound.min1.soc10.nav.5000	bound	698	all	10_10	1	weight	5000	5000	nav	10_10	359	heet	0.2112520830103784
heet.foc10.all.weight.bound.min1.soc10.nav.10000	bound	698	all	10_10	1	weight	10000	10000	nav	10_10	359	heet	0.20515648916414456
heet.foc10.all.weight.bound.min1.soc10.nav.FOC	bound	698	all	10_10	1	weight	FOC	698	nav	10_10	359	heet	0.21106621271221196
heet.foc10.all.weight.bound.min1.soc4.all.5000	bound	698	all	10_10	1	weight	5000	5000	all	4_4	359	heet	0.22077812072102201
heet.foc10.all.weight.bound.min1.soc4.all.10000	bound	698	all	10_10	1	weight	10000	10000	all	4_4	359	heet	0.21265878052532788
heet.foc10.all.weight.bound.min1.soc4.all.FOC	bound	698	all	10_10	1	weight	FOC	698	all	4_4	359	heet	0.2215582346691037
heet.foc10.all.weight.bound.min1.soc10.all.5000	bound	698	all	10_10	1	weight	5000	5000	all	10_10	359	heet	0.22033967528258694
heet.foc10.all.weight.bound.min1.soc10.all.10000	bound	698	all	10_10	1	weight	10000	10000	all	10_10	359	heet	0.2092369017230074
heet.foc10.all.weight.bound.min1.soc10.all.FOC	bound	698	all	10_10	1	weight	FOC	698	all	10_10	359	heet	0.21106621271221196
heet.foc10.all.selection.bound.min1.soc4.nav.5000	bound	698	all	10_10	1	selection	5000	5000	nav	4_4	359	heet	0.23722297764323053
heet.foc10.all.selection.bound.min1.soc4.nav.10000	bound	698	all	10_10	1	selection	10000	10000	nav	4_4	359	heet	0.23850009095149716
